,Iteration,Gates,Bays,Station_Dist,Fleet,Flow,Trips_Per_Truck,Gate_Queue_Wait,Driving_Time,Gate_Time,Bay_Time,Truck_Speed,Truck_HoS
0,0,1,1,25,10,171000.0,1.9,0.813,1.0,7,35,45,14
1,0,1,1,25,25,180000.0,1.176,3.45,0.63,7,35,45,14
2,0,1,1,25,50,189000.0,1.0,4.85,0.516,7,35,45,14
3,0,1,1,25,75,189000.0,1.0,5.205,0.509,7,35,45,14
4,0,1,1,25,100,189000.0,1.0,5.55,0.513,7,35,45,14
5,0,1,1,25,125,189000.0,1.0,5.199,0.511,7,35,45,14
6,0,1,1,25,150,189000.0,1.0,5.542,0.509,7,35,45,14
7,0,1,1,25,175,189000.0,1.0,5.748,0.508,7,35,45,14
8,0,1,1,25,200,189000.0,1.0,5.81,0.508,7,35,45,14
9,1,1,1,25,10,180000.0,2.0,0.752,1.151,7,35,45,14
10,1,1,1,25,25,189000.0,1.235,3.338,0.665,7,35,45,14
11,1,1,1,25,50,189000.0,1.0,4.63,0.539,7,35,45,14
12,1,1,1,25,75,180000.0,1.0,4.89,0.548,7,35,45,14
13,1,1,1,25,100,189000.0,1.0,5.687,0.546,7,35,45,14
14,1,1,1,25,125,189000.0,1.0,5.53,0.546,7,35,45,14
15,1,1,1,25,150,189000.0,1.0,5.67,0.543,7,35,45,14
16,1,1,1,25,175,189000.0,1.0,5.798,0.553,7,35,45,14
17,1,1,1,25,200,198000.0,1.0,5.902,0.532,7,35,45,14
18,2,1,1,25,10,189000.0,2.1,0.729,1.292,7,35,45,14
19,2,1,1,25,25,189000.0,1.105,3.694,0.683,7,35,45,14
20,2,1,1,25,50,189000.0,1.05,4.501,0.651,7,35,45,14
21,2,1,1,25,75,189000.0,1.0,5.243,0.61,7,35,45,14
22,2,1,1,25,100,189000.0,1.0,5.403,0.592,7,35,45,14
23,2,1,1,25,125,189000.0,1.0,5.489,0.605,7,35,45,14
24,2,1,1,25,150,189000.0,1.0,5.647,0.607,7,35,45,14
25,2,1,1,25,175,189000.0,1.0,5.831,0.61,7,35,45,14
26,2,1,1,25,200,189000.0,1.0,5.826,0.61,7,35,45,14
27,3,1,1,25,10,171000.0,1.9,0.645,1.265,7,35,45,14
28,3,1,1,25,25,189000.0,1.167,3.245,0.717,7,35,45,14
29,3,1,1,25,50,189000.0,1.0,4.842,0.614,7,35,45,14
30,3,1,1,25,75,189000.0,1.0,5.323,0.609,7,35,45,14
31,3,1,1,25,100,189000.0,1.0,5.621,0.618,7,35,45,14
32,3,1,1,25,125,189000.0,1.0,5.85,0.622,7,35,45,14
33,3,1,1,25,150,189000.0,1.0,5.721,0.616,7,35,45,14
34,3,1,1,25,175,189000.0,1.0,5.782,0.62,7,35,45,14
35,3,1,1,25,200,189000.0,1.0,5.705,0.615,7,35,45,14
36,4,1,1,25,10,180000.0,2.0,0.705,1.3,7,35,45,14
37,4,1,1,25,25,180000.0,1.053,3.849,0.635,7,35,45,14
38,4,1,1,25,50,189000.0,1.05,4.405,0.61,7,35,45,14
39,4,1,1,25,75,180000.0,1.0,4.863,0.583,7,35,45,14
40,4,1,1,25,100,180000.0,1.0,5.261,0.58,7,35,45,14
41,4,1,1,25,125,189000.0,1.0,5.421,0.582,7,35,45,14
42,4,1,1,25,150,189000.0,1.0,5.69,0.581,7,35,45,14
43,4,1,1,25,175,189000.0,1.0,5.503,0.572,7,35,45,14
44,4,1,1,25,200,189000.0,1.0,5.796,0.577,7,35,45,14
45,5,1,1,25,10,171000.0,1.9,0.777,0.968,7,35,45,14
46,5,1,1,25,25,171000.0,1.188,3.56,0.554,7,35,45,14
47,5,1,1,25,50,180000.0,1.111,4.314,0.55,7,35,45,14
48,5,1,1,25,75,180000.0,1.0,5.251,0.492,7,35,45,14
49,5,1,1,25,100,189000.0,1.0,5.402,0.488,7,35,45,14
50,5,1,1,25,125,180000.0,1.0,5.668,0.476,7,35,45,14
51,5,1,1,25,150,189000.0,1.0,5.746,0.485,7,35,45,14
52,5,1,1,25,175,189000.0,1.0,5.833,0.49,7,35,45,14
53,5,1,1,25,200,189000.0,1.0,5.742,0.49,7,35,45,14
54,6,1,1,25,10,189000.0,2.1,0.715,1.184,7,35,45,14
55,6,1,1,25,25,189000.0,1.167,3.548,0.628,7,35,45,14
56,6,1,1,25,50,189000.0,1.0,4.511,0.517,7,35,45,14
57,6,1,1,25,75,189000.0,1.0,5.144,0.519,7,35,45,14
58,6,1,1,25,100,189000.0,1.0,5.47,0.516,7,35,45,14
59,6,1,1,25,125,189000.0,1.0,5.759,0.52,7,35,45,14
60,6,1,1,25,150,189000.0,1.0,5.692,0.511,7,35,45,14
61,6,1,1,25,175,189000.0,1.0,5.592,0.514,7,35,45,14
62,6,1,1,25,200,189000.0,1.0,5.84,0.51,7,35,45,14
63,7,1,1,25,10,171000.0,1.9,0.801,0.892,7,35,45,14
64,7,1,1,25,25,189000.0,1.313,3.239,0.596,7,35,45,14
65,7,1,1,25,50,189000.0,1.05,4.554,0.525,7,35,45,14
66,7,1,1,25,75,189000.0,1.0,5.053,0.459,7,35,45,14
67,7,1,1,25,100,189000.0,1.0,5.303,0.458,7,35,45,14
68,7,1,1,25,125,189000.0,1.0,5.394,0.458,7,35,45,14
69,7,1,1,25,150,189000.0,1.0,5.676,0.453,7,35,45,14
70,7,1,1,25,175,189000.0,1.0,5.849,0.459,7,35,45,14
71,7,1,1,25,200,189000.0,1.0,5.915,0.458,7,35,45,14
72,8,1,1,25,10,171000.0,1.9,0.815,1.069,7,35,45,14
73,8,1,1,25,25,189000.0,1.167,3.656,0.657,7,35,45,14
74,8,1,1,25,50,189000.0,1.05,4.283,0.559,7,35,45,14
75,8,1,1,25,75,189000.0,1.0,5.218,0.538,7,35,45,14
76,8,1,1,25,100,189000.0,1.0,5.049,0.535,7,35,45,14
77,8,1,1,25,125,189000.0,1.0,5.358,0.538,7,35,45,14
