,Iteration,Gates,Bays,Station_Dist,Truck_HoS,Flow,Trips_Per_Truck,Gate_Queue_Wait,Driving_Time,Gate_Time,Bay_Time,Truck_Speed,Fleet
0,0,1,1,25,14,198000.0,1.048,4.592,0.558,7,35,45,50
1,0,1,1,25,15,207000.0,1.095,4.961,0.584,7,35,45,50
2,0,1,1,25,16,225000.0,1.087,4.994,0.544,7,35,45,50
3,0,1,1,25,17,243000.0,1.08,5.584,0.532,7,35,45,50
4,0,1,1,25,18,252000.0,1.077,6.369,0.545,7,35,45,50
5,0,1,1,25,24,252000.0,1.077,6.122,0.545,7,35,45,50
6,1,1,1,25,14,189000.0,1.05,4.502,0.695,7,35,45,50
7,1,1,1,25,15,198000.0,1.0,5.061,0.655,7,35,45,50
8,1,1,1,25,16,216000.0,1.043,5.343,0.689,7,35,45,50
9,1,1,1,25,17,225000.0,1.042,5.737,0.68,7,35,45,50
10,1,1,1,25,18,243000.0,1.08,6.213,0.724,7,35,45,50
11,1,1,1,25,24,243000.0,1.038,6.348,0.723,7,35,45,50
12,2,1,1,25,14,189000.0,1.05,4.613,0.575,7,35,45,50
13,2,1,1,25,15,198000.0,1.1,4.557,0.633,7,35,45,50
14,2,1,1,25,16,216000.0,1.091,5.194,0.618,7,35,45,50
15,2,1,1,25,17,243000.0,1.125,5.772,0.607,7,35,45,50
16,2,1,1,25,18,252000.0,1.037,6.449,0.548,7,35,45,50
17,2,1,1,25,24,252000.0,1.12,5.938,0.589,7,35,45,50
18,3,1,1,25,14,189000.0,1.05,4.764,0.516,7,35,45,50
19,3,1,1,25,15,198000.0,1.0,4.855,0.52,7,35,45,50
20,3,1,1,25,16,216000.0,1.091,5.454,0.554,7,35,45,50
21,3,1,1,25,17,234000.0,1.083,5.79,0.568,7,35,45,50
22,3,1,1,25,18,243000.0,1.08,6.1,0.563,7,35,45,50
23,3,1,1,25,24,261000.0,1.115,5.777,0.578,7,35,45,50
24,4,1,1,25,14,189000.0,1.05,4.607,0.511,7,35,45,50
25,4,1,1,25,15,207000.0,1.0,5.597,0.52,7,35,45,50
26,4,1,1,25,16,216000.0,1.043,5.172,0.506,7,35,45,50
27,4,1,1,25,17,234000.0,1.04,6.007,0.512,7,35,45,50
28,4,1,1,25,18,252000.0,1.12,5.954,0.566,7,35,45,50
29,4,1,1,25,24,252000.0,1.037,5.922,0.535,7,35,45,50
30,5,1,1,25,14,189000.0,1.05,4.302,0.613,7,35,45,50
31,5,1,1,25,15,207000.0,1.045,5.096,0.624,7,35,45,50
32,5,1,1,25,16,207000.0,1.045,5.458,0.629,7,35,45,50
33,5,1,1,25,17,234000.0,1.04,5.618,0.654,7,35,45,50
34,5,1,1,25,18,252000.0,1.037,6.379,0.668,7,35,45,50
35,5,1,1,25,24,252000.0,1.037,6.43,0.668,7,35,45,50
36,6,1,1,25,14,180000.0,1.0,5.015,0.59,7,35,45,50
37,6,1,1,25,15,189000.0,1.0,4.986,0.63,7,35,45,50
38,6,1,1,25,16,225000.0,1.042,4.906,0.619,7,35,45,50
39,6,1,1,25,17,243000.0,1.038,5.627,0.613,7,35,45,50
40,6,1,1,25,18,252000.0,1.077,5.93,0.625,7,35,45,50
41,6,1,1,25,24,252000.0,1.037,6.171,0.6,7,35,45,50
42,7,1,1,25,14,189000.0,1.0,4.669,0.696,7,35,45,50
43,7,1,1,25,15,207000.0,1.0,5.243,0.708,7,35,45,50
44,7,1,1,25,16,225000.0,1.087,5.1,0.746,7,35,45,50
45,7,1,1,25,17,234000.0,1.04,6.091,0.741,7,35,45,50
46,7,1,1,25,18,252000.0,1.0,6.682,0.738,7,35,45,50
47,7,1,1,25,24,243000.0,1.08,5.974,0.758,7,35,45,50
48,8,1,1,25,14,189000.0,1.0,4.457,0.499,7,35,45,50
49,8,1,1,25,15,207000.0,1.095,4.769,0.551,7,35,45,50
50,8,1,1,25,16,216000.0,1.143,5.127,0.566,7,35,45,50
51,8,1,1,25,17,225000.0,1.042,5.631,0.531,7,35,45,50
52,8,1,1,25,18,252000.0,1.077,6.226,0.574,7,35,45,50
53,8,1,1,25,24,243000.0,1.125,5.962,0.601,7,35,45,50
54,9,1,1,25,14,180000.0,1.053,4.387,0.653,7,35,45,50
55,9,1,1,25,15,198000.0,1.0,5.276,0.629,7,35,45,50
56,9,1,1,25,16,225000.0,1.042,5.282,0.669,7,35,45,50
57,9,1,1,25,17,225000.0,1.136,5.833,0.722,7,35,45,50
58,9,1,1,25,18,252000.0,1.037,6.212,0.629,7,35,45,50
59,9,1,1,25,24,243000.0,1.08,6.151,0.668,7,35,45,50
60,10,1,1,25,14,189000.0,1.05,4.824,0.613,7,35,45,50
61,10,1,1,25,15,207000.0,1.045,5.312,0.611,7,35,45,50
62,10,1,1,25,16,216000.0,1.043,5.704,0.614,7,35,45,50
63,10,1,1,25,17,234000.0,1.04,5.785,0.641,7,35,45,50
64,10,1,1,25,18,252000.0,1.077,5.889,0.665,7,35,45,50
65,10,1,1,25,24,252000.0,1.077,5.96,0.663,7,35,45,50
66,11,1,1,25,14,189000.0,1.0,5.127,0.67,7,35,45,50
67,11,1,1,25,15,207000.0,1.045,5.078,0.699,7,35,45,50
68,11,1,1,25,16,216000.0,1.043,5.356,0.715,7,35,45,50
69,11,1,1,25,17,234000.0,1.0,6.04,0.683,7,35,45,50
70,11,1,1,25,18,243000.0,1.038,6.226,0.716,7,35,45,50
71,11,1,1,25,24,261000.0,1.074,6.543,0.701,7,35,45,50
72,12,1,1,25,14,189000.0,1.0,4.631,0.494,7,35,45,50
73,12,1,1,25,15,207000.0,1.0,5.126,0.481,7,35,45,50
74,12,1,1,25,16,216000.0,1.043,5.312,0.495,7,35,45,50
75,12,1,1,25,17,243000.0,1.125,5.436,0.486,7,35,45,50
76,12,1,1,25,18,243000.0,1.038,6.272,0.466,7,35,45,50
77,12,1,1,25,24,252000.0,1.037,6.288,0.447,7,35,45,50
