,Gates,Bays,Station_Dist,Parameter,Value,p-value,DES<ANA
0,1,1,25,Gate,1,2.2712766784524485e-55,True
1,1,1,25,Gate,2,4.0263472209727525e-58,True
2,1,1,25,Gate,3,4.595589563534768e-56,True
3,1,1,25,Gate,4,1.5576404918007304e-60,True
4,1,1,25,Gate,5,1.1974250466797719e-52,True
5,1,1,25,Gate,6,8.932514847763283e-61,True
6,1,1,25,Gate,7,2.970432810823477e-55,True
7,1,1,25,Gate,8,5.275221630149924e-52,True
8,1,1,25,Gate,9,8.735699917928036e-50,True
9,1,1,25,Gate,10,1.7110906865492286e-49,True
10,1,1,25,Gate,15,3.17047217027698e-43,True
11,1,1,25,Gate,20,4.8668245137683017e-39,True
12,1,1,25,Bay,15.0,7.753468334948151e-40,True
13,1,1,25,Bay,17.5,2.6871227328063873e-42,True
14,1,1,25,Bay,20.0,2.574641977466303e-43,True
15,1,1,25,Bay,22.5,5.965865655342991e-41,True
16,1,1,25,Bay,25.0,9.81777306084306e-43,True
17,1,1,25,Bay,27.5,3.108762365484631e-43,True
18,1,1,25,Bay,30.0,1.801040514075858e-41,True
19,1,1,25,Bay,32.5,1.7123089508368703e-43,True
20,1,1,25,Bay,35.0,1.2233371769447111e-42,True
21,1,1,25,Bay,37.5,4.828002713283504e-43,True
22,1,1,25,Bay,40.0,7.40038196014247e-43,True
23,1,1,25,Bay,42.5,1.5356937329109597e-43,True
24,1,1,25,Bay,45.0,7.96369448707007e-44,True
25,1,1,25,Speed,25,8.265172777653727e-39,True
26,1,1,25,Speed,35,1.1122017014720404e-43,True
27,1,1,25,Speed,45,1.8037745117193818e-42,True
28,1,1,25,Speed,55,1.7479607737285839e-44,True
29,1,1,25,Speed,65,2.3377291128303486e-44,True
30,1,1,25,Speed,75,2.3377291128303486e-44,True
31,1,1,25,HoS,14,6.549791502326625e-46,True
32,1,1,25,HoS,15,4.192409144513859e-40,True
33,1,1,25,HoS,16,8.120673822011548e-37,True
34,1,1,25,HoS,17,3.627031282657659e-34,True
35,1,1,25,HoS,18,1.7401704760451707e-34,True
36,1,1,25,Fleet,10,3.22212530157765e-33,True
37,1,1,25,Fleet,25,2.806433821411362e-38,True
38,1,1,25,Fleet,50,4.974292304827322e-43,True
39,1,1,25,Fleet,75,2.899864715755161e-44,True
40,1,1,25,Fleet,100,2.6183428468647533e-43,True
41,1,1,25,Fleet,125,3.413587222368807e-51,True
42,1,1,25,Fleet,150,2.7981387337403286e-44,True
43,1,1,25,Fleet,175,9.731372876195102e-45,True
44,1,1,25,Fleet,200,5.998332562147925e-44,True
45,1,1,50,Gate,1,1.7078261732347214e-46,True
46,1,1,50,Gate,2,3.5613012246894345e-47,True
47,1,1,50,Gate,3,1.4093686311933734e-43,True
48,1,1,50,Gate,4,7.395748428416329e-42,True
49,1,1,50,Gate,5,1.799711770913822e-43,True
50,1,1,50,Gate,6,4.4141963847382564e-44,True
51,1,1,50,Gate,7,3.3832865266137283e-40,True
52,1,1,50,Gate,8,1.545170076555962e-40,True
53,1,1,50,Gate,9,7.695190000725496e-37,True
54,1,1,50,Gate,10,1.2180852155987817e-40,True
55,1,1,50,Gate,15,2.45164501142052e-33,True
56,1,1,50,Gate,20,1.4392777237836268e-29,True
57,1,1,50,Bay,15.0,2.2521308198942738e-35,True
58,1,1,50,Bay,17.5,9.305157971755818e-39,True
59,1,1,50,Bay,20.0,1.5482025080741432e-40,True
60,1,1,50,Bay,22.5,2.9504028122265806e-42,True
61,1,1,50,Bay,25.0,7.3726987779559645e-37,True
62,1,1,50,Bay,27.5,1.1798543555908017e-41,True
63,1,1,50,Bay,30.0,7.612244180914754e-38,True
64,1,1,50,Bay,32.5,4.39710986063414e-40,True
65,1,1,50,Bay,35.0,1.5824754901022184e-41,True
66,1,1,50,Bay,37.5,1.8312089811547596e-40,True
67,1,1,50,Bay,40.0,3.2173503354313202e-40,True
68,1,1,50,Bay,42.5,8.008803554555646e-39,True
69,1,1,50,Bay,45.0,1.5516543901359535e-39,True
70,1,1,50,Speed,25,2.0566578658765396e-37,True
71,1,1,50,Speed,35,3.2458576271724495e-38,True
72,1,1,50,Speed,45,6.278616955133164e-44,True
73,1,1,50,Speed,55,1.6100973225434296e-42,True
74,1,1,50,Speed,65,4.974292304827322e-43,True
75,1,1,50,Speed,75,2.6183428468647163e-43,True
76,1,1,50,HoS,14,1.1833946415740119e-40,True
77,1,1,50,HoS,15,3.929815260848208e-37,True
78,1,1,50,HoS,16,2.8125855620387097e-35,True
79,1,1,50,HoS,17,6.924055669129786e-38,True
80,1,1,50,HoS,18,4.627706827259234e-31,True
81,1,1,50,Fleet,10,6.900932517009271e-32,True
82,1,1,50,Fleet,25,2.5571092420148425e-41,True
83,1,1,50,Fleet,50,1.083522131362532e-39,True
84,1,1,50,Fleet,75,2.1568942040934725e-43,True
85,1,1,50,Fleet,100,2.8044983328546964e-42,True
86,1,1,50,Fleet,125,8.904131095490894e-40,True
87,1,1,50,Fleet,150,1.6100973225434066e-42,True
88,1,1,50,Fleet,175,1.6615002337596988e-43,True
89,1,1,50,Fleet,200,2.1568942040934725e-43,True
90,1,1,100,Gate,1,2.089240233565426e-42,True
91,1,1,100,Gate,2,2.5969411331980642e-42,True
92,1,1,100,Gate,3,2.472495851103141e-40,True
93,1,1,100,Gate,4,7.767752403512146e-44,True
94,1,1,100,Gate,5,1.435638721706181e-40,True
95,1,1,100,Gate,6,8.935035488256754e-40,True
96,1,1,100,Gate,7,9.076622242614015e-40,True
97,1,1,100,Gate,8,1.0471891251710823e-37,True
98,1,1,100,Gate,9,1.1032553342920652e-39,True
99,1,1,100,Gate,10,1.333881866861156e-35,True
100,1,1,100,Gate,15,1.2580246502527358e-31,True
101,1,1,100,Gate,20,2.0301888451595403e-29,True
102,1,1,100,Bay,15.0,4.7823354228345887e-35,True
103,1,1,100,Bay,17.5,4.998074590775114e-37,True
104,1,1,100,Bay,20.0,4.5661327077291865e-37,True
105,1,1,100,Bay,22.5,1.3019666469511823e-35,True
106,1,1,100,Bay,25.0,7.42441949621497e-44,True
107,1,1,100,Bay,27.5,5.3419861043722283e-36,True
108,1,1,100,Bay,30.0,1.0526110885920728e-40,True
109,1,1,100,Bay,32.5,2.3509550793675893e-39,True
110,1,1,100,Bay,35.0,3.8888983759301195e-37,True
111,1,1,100,Bay,37.5,1.3130816885295418e-38,True
112,1,1,100,Bay,40.0,1.52238336743827e-36,True
113,1,1,100,Bay,42.5,3.8693269604156505e-39,True
114,1,1,100,Bay,45.0,5.66217781124375e-38,True
115,1,1,100,Speed,25,2.5497011794766336e-37,True
116,1,1,100,Speed,35,1.5379712293038624e-36,True
117,1,1,100,Speed,45,4.343438681217825e-39,True
118,1,1,100,Speed,55,3.706468761287112e-40,True
119,1,1,100,Speed,65,6.81811269660138e-41,True
120,1,1,100,Speed,75,5.860169762866626e-38,True
121,1,1,100,HoS,14,3.812603731500735e-36,True
122,1,1,100,HoS,15,1.4494962911311348e-38,True
123,1,1,100,HoS,16,5.796518075826647e-35,True
124,1,1,100,HoS,17,2.0258505387510364e-33,True
125,1,1,100,HoS,18,1.1519580562032019e-29,True
126,1,1,100,Fleet,10,1.0595991350858758e-33,True
127,1,1,100,Fleet,25,4.8357718972791704e-36,True
128,1,1,100,Fleet,50,1.4493361429545856e-38,True
129,1,1,100,Fleet,75,1.6982950554279118e-37,True
130,1,1,100,Fleet,100,4.483635772344201e-37,True
131,1,1,100,Fleet,125,2.250845507819344e-38,True
132,1,1,100,Fleet,150,7.616343782401573e-39,True
133,1,1,100,Fleet,175,5.0166908091421965e-39,True
134,1,1,100,Fleet,200,9.73283019868871e-37,True
135,1,1,150,Gate,1,9.582241306380566e-42,True
136,1,1,150,Gate,2,4.242698303751551e-40,True
137,1,1,150,Gate,3,5.139470409971974e-40,True
138,1,1,150,Gate,4,8.360942684545934e-39,True
139,1,1,150,Gate,5,3.807053751882162e-39,True
140,1,1,150,Gate,6,1.1255077947845752e-36,True
141,1,1,150,Gate,7,7.4069451828124875e-37,True
142,1,1,150,Gate,8,9.088565783920009e-36,True
143,1,1,150,Gate,9,1.005041046169865e-34,True
144,1,1,150,Gate,10,6.795066960534206e-35,True
145,1,1,150,Gate,15,9.087854705801624e-31,True
146,1,1,150,Gate,20,4.548125160719945e-28,True
147,1,1,150,Bay,15.0,5.0546339537874954e-33,True
148,1,1,150,Bay,17.5,3.255625122174662e-40,True
149,1,1,150,Bay,20.0,9.309707678964651e-35,True
150,1,1,150,Bay,22.5,5.890071718197334e-36,True
151,1,1,150,Bay,25.0,1.3924583616834172e-37,True
152,1,1,150,Bay,27.5,9.649946516507028e-37,True
153,1,1,150,Bay,30.0,1.0088792027238559e-39,True
154,1,1,150,Bay,32.5,4.935770835711725e-35,True
155,1,1,150,Bay,35.0,5.848354583624899e-38,True
156,1,1,150,Bay,37.5,1.1897723785935374e-34,True
157,1,1,150,Bay,40.0,4.923938769257484e-37,True
158,1,1,150,Bay,42.5,2.6185837409965565e-36,True
159,1,1,150,Bay,45.0,1.6218280994636126e-34,True
160,1,1,150,Speed,25,2.1028827807123605e-34,True
161,1,1,150,Speed,35,1.0081506174693119e-38,True
162,1,1,150,Speed,45,1.4720239282830153e-35,True
163,1,1,150,Speed,55,1.261001121197728e-36,True
164,1,1,150,Speed,65,2.4200359995275587e-39,True
165,1,1,150,Speed,75,6.423414420498476e-39,True
166,1,1,150,HoS,14,4.0557947603867574e-33,True
167,1,1,150,HoS,15,1.7933056054504784e-31,True
168,1,1,150,HoS,16,7.430962947203472e-32,True
169,1,1,150,HoS,17,1.0882696969988131e-32,True
170,1,1,150,HoS,18,5.006012297491168e-31,True
171,1,1,150,Fleet,10,3.3900536327522014e-27,True
172,1,1,150,Fleet,25,9.70687616749754e-36,True
173,1,1,150,Fleet,50,3.082444519345741e-39,True
174,1,1,150,Fleet,75,3.7604950087568445e-36,True
175,1,1,150,Fleet,100,7.925090088421283e-37,True
176,1,1,150,Fleet,125,7.248456635990305e-38,True
177,1,1,150,Fleet,150,1.6982428704711918e-35,True
178,1,1,150,Fleet,175,2.3117984993170723e-36,True
179,1,1,150,Fleet,200,4.698011047645897e-37,True
180,1,1,200,Gate,1,7.0399784749597e-41,True
181,1,1,200,Gate,2,7.342807857493479e-40,True
182,1,1,200,Gate,3,3.2956339262244456e-41,True
183,1,1,200,Gate,4,4.9951540440922065e-39,True
184,1,1,200,Gate,5,3.535088289973716e-37,True
185,1,1,200,Gate,6,1.0160519744628045e-38,True
186,1,1,200,Gate,7,7.006197359977523e-39,True
187,1,1,200,Gate,8,3.4589070829846575e-36,True
188,1,1,200,Gate,9,1.3940686131176766e-35,True
189,1,1,200,Gate,10,1.8498531910216685e-35,True
190,1,1,200,Gate,15,9.910383515819056e-33,True
191,1,1,200,Gate,20,3.632960058799683e-28,True
192,1,1,200,Bay,15.0,4.194389173868083e-33,True
193,1,1,200,Bay,17.5,2.2889910609557754e-35,True
194,1,1,200,Bay,20.0,7.407890559148774e-38,True
195,1,1,200,Bay,22.5,5.227163645304521e-35,True
196,1,1,200,Bay,25.0,1.4558007180113015e-34,True
197,1,1,200,Bay,27.5,1.5802901797708358e-35,True
198,1,1,200,Bay,30.0,1.7879642047626772e-34,True
199,1,1,200,Bay,32.5,6.893878729286995e-39,True
200,1,1,200,Bay,35.0,8.899747198777208e-36,True
201,1,1,200,Bay,37.5,1.7613921608312918e-35,True
202,1,1,200,Bay,40.0,1.0165278380383694e-35,True
203,1,1,200,Bay,42.5,3.0029572374566847e-35,True
204,1,1,200,Bay,45.0,4.6738547655994626e-36,True
205,1,1,200,Speed,25,1.191425302154962e-35,True
206,1,1,200,Speed,35,2.7084140353145293e-33,True
207,1,1,200,Speed,45,9.143644889018905e-32,True
208,1,1,200,Speed,55,2.4232330120733848e-34,True
209,1,1,200,Speed,65,4.959166960415543e-36,True
210,1,1,200,Speed,75,2.2942270179285677e-35,True
211,1,1,200,HoS,14,8.910812363390187e-36,True
212,1,1,200,HoS,15,5.271128540640892e-34,True
213,1,1,200,HoS,16,4.385851149626952e-32,True
214,1,1,200,HoS,17,1.2913456427215013e-30,True
215,1,1,200,HoS,18,1.5690568252752927e-29,True
216,1,1,200,Fleet,10,3.4874078426980565e-24,True
217,1,1,200,Fleet,25,4.6714349973845676e-36,True
218,1,1,200,Fleet,50,3.552367791514327e-36,True
219,1,1,200,Fleet,75,8.478512206768258e-37,True
220,1,1,200,Fleet,100,2.06021146179063e-36,True
221,1,1,200,Fleet,125,8.368196252774737e-35,True
222,1,1,200,Fleet,150,5.064916713833497e-36,True
223,1,1,200,Fleet,175,1.0518693319583943e-35,True
224,1,1,200,Fleet,200,4.864627253928287e-35,True
225,1,1,300,Gate,1,9.93294163051984e-39,True
226,1,1,300,Gate,2,5.5148123050451315e-39,True
227,1,1,300,Gate,3,3.7229293001142913e-37,True
228,1,1,300,Gate,4,2.6451320084203265e-38,True
229,1,1,300,Gate,5,3.103024389180985e-38,True
230,1,1,300,Gate,6,8.562038186464058e-37,True
231,1,1,300,Gate,7,9.101163898113045e-37,True
232,1,1,300,Gate,8,6.126023377117021e-35,True
233,1,1,300,Gate,9,3.242788569772666e-35,True
234,1,1,300,Gate,10,5.17876777288105e-33,True
235,1,1,300,Gate,15,5.980484970753699e-30,True
236,1,1,300,Gate,20,7.80862637153581e-30,True
237,1,1,300,Bay,15.0,2.073445004239715e-34,True
238,1,1,300,Bay,17.5,1.3081303593709287e-33,True
239,1,1,300,Bay,20.0,2.079194213167122e-32,True
240,1,1,300,Bay,22.5,7.252737644662874e-35,True
241,1,1,300,Bay,25.0,4.739542634316781e-34,True
242,1,1,300,Bay,27.5,5.6033310409239106e-33,True
243,1,1,300,Bay,30.0,3.614785218388295e-33,True
244,1,1,300,Bay,32.5,9.040491407912882e-34,True
245,1,1,300,Bay,35.0,9.026180888486711e-34,True
246,1,1,300,Bay,37.5,2.0705672012095742e-35,True
247,1,1,300,Bay,40.0,5.775068823038541e-35,True
248,1,1,300,Bay,42.5,3.2361359688197333e-35,True
249,1,1,300,Bay,45.0,1.2246704430907558e-35,True
250,1,1,300,Speed,25,1.269749410111295e-37,True
251,1,1,300,Speed,35,8.576929884381211e-36,True
252,1,1,300,Speed,45,4.22888948450116e-37,True
253,1,1,300,Speed,55,1.1730284436394288e-34,True
254,1,1,300,Speed,65,4.2520926120746425e-35,True
255,1,1,300,Speed,75,3.6947364988159675e-36,True
256,1,1,300,HoS,14,2.924735961715582e-33,True
257,1,1,300,HoS,15,1.9481902479182231e-31,True
258,1,1,300,HoS,16,1.168010397824529e-31,True
259,1,1,300,HoS,17,5.182808806034087e-29,True
260,1,1,300,HoS,18,7.891559752470816e-27,True
261,1,1,300,Fleet,10,3.5139228539461015e-13,True
262,1,1,300,Fleet,25,5.626872016007487e-36,True
263,1,1,300,Fleet,50,1.6417745668835638e-39,True
264,1,1,300,Fleet,75,5.8442559269202216e-37,True
265,1,1,300,Fleet,100,2.977699275442613e-38,True
266,1,1,300,Fleet,125,8.96929657919961e-38,True
267,1,1,300,Fleet,150,1.3083412503931613e-37,True
268,1,1,300,Fleet,175,3.020314942931287e-36,True
269,1,1,300,Fleet,200,4.047190299195228e-37,True
270,1,2,25,Gate,1,1.7945379040406783e-50,True
271,1,2,25,Gate,2,1.6651253893230395e-48,True
272,1,2,25,Gate,3,1.135538112638573e-50,True
273,1,2,25,Gate,4,1.7292537531278054e-46,True
274,1,2,25,Gate,5,2.795763462105165e-46,True
275,1,2,25,Gate,6,1.2673274942408247e-44,True
276,1,2,25,Gate,7,7.721313653198408e-41,True
277,1,2,25,Gate,8,1.8066696048175265e-39,True
278,1,2,25,Gate,9,2.749717273024208e-35,True
279,1,2,25,Gate,10,6.092821742594936e-38,True
280,1,2,25,Gate,15,2.88875109910652e-22,True
281,1,2,25,Gate,20,4.973887694055732e-20,True
282,1,2,25,Bay,15.0,1.6243288284209773e-08,True
283,1,2,25,Bay,17.5,6.35176829720334e-23,True
284,1,2,25,Bay,20.0,4.776204775191434e-28,True
285,1,2,25,Bay,22.5,2.276675220889583e-31,True
286,1,2,25,Bay,25.0,2.80463962530642e-35,True
287,1,2,25,Bay,27.5,6.982957032606486e-35,True
288,1,2,25,Bay,30.0,2.6039886069489236e-40,True
289,1,2,25,Bay,32.5,4.966042879688849e-40,True
290,1,2,25,Bay,35.0,4.904470444406873e-41,True
291,1,2,25,Bay,37.5,1.398717548492046e-41,True
292,1,2,25,Bay,40.0,1.4516758163773018e-45,True
293,1,2,25,Bay,42.5,8.259791016104425e-45,True
294,1,2,25,Bay,45.0,2.8570025021652433e-38,True
295,1,2,25,Speed,25,6.706026024283133e-41,True
296,1,2,25,Speed,35,8.155929801183232e-39,True
297,1,2,25,Speed,45,1.3281964714810862e-41,True
298,1,2,25,Speed,55,3.010224025454614e-40,True
299,1,2,25,Speed,65,5.103675887688462e-40,True
300,1,2,25,Speed,75,1.0540896058334958e-40,True
301,1,2,25,HoS,14,9.923854465334123e-44,True
302,1,2,25,HoS,15,1.397511487347986e-37,True
303,1,2,25,HoS,16,6.528872563735237e-33,True
304,1,2,25,HoS,17,1.112325986662551e-27,True
305,1,2,25,HoS,18,3.3182117540262063e-21,True
306,1,2,25,Fleet,10,6.671641234810972e-31,True
307,1,2,25,Fleet,25,2.0054812653502112e-36,True
308,1,2,25,Fleet,50,4.607636371679587e-40,True
309,1,2,25,Fleet,75,4.885069157026252e-44,True
310,1,2,25,Fleet,100,6.973420418323145e-40,True
311,1,2,25,Fleet,125,9.229124939368359e-43,True
312,1,2,25,Fleet,150,5.076112946836509e-44,True
313,1,2,25,Fleet,175,3.7607752527181335e-41,True
314,1,2,25,Fleet,200,1.4268913616726758e-42,True
315,1,2,50,Gate,1,2.673517809720014e-47,True
316,1,2,50,Gate,2,3.908538529317175e-45,True
317,1,2,50,Gate,3,2.2669635208005128e-47,True
318,1,2,50,Gate,4,5.578472813308933e-46,True
319,1,2,50,Gate,5,1.0262535786803532e-44,True
320,1,2,50,Gate,6,7.249085718581067e-43,True
321,1,2,50,Gate,7,1.083312675269107e-39,True
322,1,2,50,Gate,8,5.157456561002751e-38,True
323,1,2,50,Gate,9,5.782856511975364e-38,True
324,1,2,50,Gate,10,3.700144335903942e-35,True
325,1,2,50,Gate,15,5.828012697169862e-23,True
326,1,2,50,Gate,20,6.526442699684692e-23,True
327,1,2,50,Bay,15.0,1.1783324913613498e-10,True
328,1,2,50,Bay,17.5,1.0435560841907472e-25,True
329,1,2,50,Bay,20.0,9.180514888877154e-29,True
330,1,2,50,Bay,22.5,4.699837026499398e-32,True
331,1,2,50,Bay,25.0,4.987160841868303e-35,True
332,1,2,50,Bay,27.5,4.414638852641806e-35,True
333,1,2,50,Bay,30.0,1.7513588517052157e-39,True
334,1,2,50,Bay,32.5,8.766347675040962e-39,True
335,1,2,50,Bay,35.0,8.510578079458977e-39,True
336,1,2,50,Bay,37.5,1.8820910227595513e-36,True
337,1,2,50,Bay,40.0,1.3238232044075551e-40,True
338,1,2,50,Bay,42.5,1.750396646988253e-40,True
339,1,2,50,Bay,45.0,5.8357987439368195e-39,True
340,1,2,50,Speed,25,4.4013680340470135e-36,True
341,1,2,50,Speed,35,2.329507006266365e-38,True
342,1,2,50,Speed,45,2.842824573466191e-38,True
343,1,2,50,Speed,55,4.8484425580540826e-39,True
344,1,2,50,Speed,65,6.308952904742162e-40,True
345,1,2,50,Speed,75,8.26158944772251e-42,True
346,1,2,50,HoS,14,1.5097639177397616e-41,True
347,1,2,50,HoS,15,1.9419362108226622e-35,True
348,1,2,50,HoS,16,2.570872666611743e-34,True
349,1,2,50,HoS,17,5.7425128239861784e-30,True
350,1,2,50,HoS,18,2.2738750770200457e-21,True
351,1,2,50,Fleet,10,4.512842662926671e-34,True
352,1,2,50,Fleet,25,5.496197798784139e-36,True
353,1,2,50,Fleet,50,2.6694649855775476e-38,True
354,1,2,50,Fleet,75,9.471096643684703e-42,True
355,1,2,50,Fleet,100,2.9989100569580126e-37,True
356,1,2,50,Fleet,125,3.9810105607348944e-41,True
357,1,2,50,Fleet,150,4.744608002016798e-40,True
358,1,2,50,Fleet,175,3.174455741048391e-40,True
359,1,2,50,Fleet,200,9.977860917606857e-41,True
360,1,2,100,Gate,1,1.6942918074443024e-43,True
361,1,2,100,Gate,2,2.048501919218992e-41,True
362,1,2,100,Gate,3,4.3275679841539934e-42,True
363,1,2,100,Gate,4,8.704755676148508e-41,True
364,1,2,100,Gate,5,1.614248843292828e-38,True
365,1,2,100,Gate,6,4.762994638162253e-38,True
366,1,2,100,Gate,7,3.877818137194603e-37,True
367,1,2,100,Gate,8,6.252409777041055e-34,True
368,1,2,100,Gate,9,9.132215459240317e-34,True
369,1,2,100,Gate,10,2.1895088046841008e-30,True
370,1,2,100,Gate,15,2.238189879773215e-21,True
371,1,2,100,Gate,20,2.0741110592488253e-22,True
372,1,2,100,Bay,15.0,2.4336322715043475e-17,True
373,1,2,100,Bay,17.5,6.556659412872662e-26,True
374,1,2,100,Bay,20.0,3.8981903222696016e-28,True
375,1,2,100,Bay,22.5,8.160662497893645e-31,True
376,1,2,100,Bay,25.0,6.739496405808258e-33,True
377,1,2,100,Bay,27.5,8.492643160432881e-34,True
378,1,2,100,Bay,30.0,7.065801855360867e-36,True
379,1,2,100,Bay,32.5,3.7040273718726996e-36,True
380,1,2,100,Bay,35.0,1.0093127095632588e-36,True
381,1,2,100,Bay,37.5,1.3585871536892648e-37,True
382,1,2,100,Bay,40.0,2.9385453115273784e-37,True
383,1,2,100,Bay,42.5,3.6905309367139186e-37,True
384,1,2,100,Bay,45.0,1.855294465858277e-38,True
385,1,2,100,Speed,25,6.541153485229384e-35,True
386,1,2,100,Speed,35,8.322802099885705e-38,True
387,1,2,100,Speed,45,5.371556400546501e-37,True
388,1,2,100,Speed,55,8.970138021651214e-38,True
389,1,2,100,Speed,65,9.03679035745872e-37,True
390,1,2,100,Speed,75,1.0780005178755219e-35,True
391,1,2,100,HoS,14,1.187702355619188e-39,True
392,1,2,100,HoS,15,8.782145295560965e-32,True
393,1,2,100,HoS,16,9.448342048481865e-31,True
394,1,2,100,HoS,17,1.955106091698624e-26,True
395,1,2,100,HoS,18,1.128825368297804e-22,True
396,1,2,100,Fleet,10,5.999887696478794e-24,True
397,1,2,100,Fleet,25,9.44144315700575e-34,True
398,1,2,100,Fleet,50,1.331384306835627e-37,True
399,1,2,100,Fleet,75,1.6841223603305958e-37,True
400,1,2,100,Fleet,100,4.682766107597918e-38,True
401,1,2,100,Fleet,125,2.289616646955967e-36,True
402,1,2,100,Fleet,150,3.07817787150901e-37,True
403,1,2,100,Fleet,175,8.072542161634456e-37,True
404,1,2,100,Fleet,200,8.414541935944024e-40,True
405,1,2,150,Gate,1,2.5916311902639985e-42,True
406,1,2,150,Gate,2,1.1640409498996423e-40,True
407,1,2,150,Gate,3,1.0840960023192957e-38,True
408,1,2,150,Gate,4,8.970314255590376e-38,True
409,1,2,150,Gate,5,4.084851593838991e-37,True
410,1,2,150,Gate,6,1.576235922853867e-36,True
411,1,2,150,Gate,7,2.2372017207911287e-34,True
412,1,2,150,Gate,8,2.5511148688621822e-33,True
413,1,2,150,Gate,9,5.903635014164551e-35,True
414,1,2,150,Gate,10,8.030542089264724e-29,True
415,1,2,150,Gate,15,2.735166999559944e-22,True
416,1,2,150,Gate,20,3.6685613888488016e-21,True
417,1,2,150,Bay,15.0,2.653048092618376e-21,True
418,1,2,150,Bay,17.5,7.403193877819543e-27,True
419,1,2,150,Bay,20.0,1.1973218256271662e-29,True
420,1,2,150,Bay,22.5,1.206916927769273e-35,True
421,1,2,150,Bay,25.0,1.1442162341554871e-32,True
422,1,2,150,Bay,27.5,1.052315335838354e-35,True
423,1,2,150,Bay,30.0,1.732079162780596e-36,True
424,1,2,150,Bay,32.5,7.133777989769058e-34,True
425,1,2,150,Bay,35.0,2.8430144768999685e-37,True
426,1,2,150,Bay,37.5,1.5555335093224521e-37,True
427,1,2,150,Bay,40.0,2.2211019188890103e-37,True
428,1,2,150,Bay,42.5,6.374070581659785e-38,True
429,1,2,150,Bay,45.0,4.882493683840662e-39,True
430,1,2,150,Speed,25,7.444932654131403e-34,True
431,1,2,150,Speed,35,3.249968585002044e-40,True
432,1,2,150,Speed,45,4.636186386943586e-37,True
433,1,2,150,Speed,55,1.351108788955135e-36,True
434,1,2,150,Speed,65,8.542853622772176e-35,True
435,1,2,150,Speed,75,5.113891179799539e-38,True
436,1,2,150,HoS,14,6.33148554574038e-34,True
437,1,2,150,HoS,15,4.341997881280747e-32,True
438,1,2,150,HoS,16,8.464068553454252e-32,True
439,1,2,150,HoS,17,4.6903185270107225e-30,True
440,1,2,150,HoS,18,1.1405990263987463e-24,True
441,1,2,150,Fleet,10,2.0663688791422857e-21,True
442,1,2,150,Fleet,25,1.1802974014516238e-33,True
443,1,2,150,Fleet,50,1.6667129175342568e-33,True
444,1,2,150,Fleet,75,2.589367079809328e-35,True
445,1,2,150,Fleet,100,7.499381168282914e-35,True
446,1,2,150,Fleet,125,1.435944574161336e-37,True
447,1,2,150,Fleet,150,2.0083318965642911e-35,True
448,1,2,150,Fleet,175,3.621147145294947e-36,True
449,1,2,150,Fleet,200,4.774756872829388e-35,True
450,1,2,200,Gate,1,4.831169821109749e-43,True
451,1,2,200,Gate,2,5.045657379965578e-42,True
452,1,2,200,Gate,3,1.1189193198857561e-40,True
453,1,2,200,Gate,4,7.52034033756097e-41,True
454,1,2,200,Gate,5,5.698468304941296e-38,True
455,1,2,200,Gate,6,2.601154478575238e-35,True
456,1,2,200,Gate,7,3.162105767036255e-35,True
457,1,2,200,Gate,8,8.760431898619615e-35,True
458,1,2,200,Gate,9,3.245652386191549e-31,True
459,1,2,200,Gate,10,6.657578413127067e-32,True
460,1,2,200,Gate,15,2.080146764679162e-23,True
461,1,2,200,Gate,20,1.214121090657527e-21,True
462,1,2,200,Bay,15.0,1.3445323627971646e-23,True
463,1,2,200,Bay,17.5,5.145827578636977e-29,True
464,1,2,200,Bay,20.0,6.193816760012713e-32,True
465,1,2,200,Bay,22.5,3.708014291284861e-33,True
466,1,2,200,Bay,25.0,7.134775117554509e-34,True
467,1,2,200,Bay,27.5,3.838452368615031e-33,True
468,1,2,200,Bay,30.0,4.9120587909245667e-32,True
469,1,2,200,Bay,32.5,1.3315008806636781e-33,True
470,1,2,200,Bay,35.0,2.6208751680244233e-34,True
471,1,2,200,Bay,37.5,1.0748340096321317e-38,True
472,1,2,200,Bay,40.0,1.022111653273147e-34,True
473,1,2,200,Bay,42.5,2.445048381196869e-34,True
474,1,2,200,Bay,45.0,2.2664013987608823e-35,True
475,1,2,200,Speed,25,8.020165870617138e-36,True
476,1,2,200,Speed,35,5.742485820693376e-34,True
477,1,2,200,Speed,45,1.862169035157233e-32,True
478,1,2,200,Speed,55,6.349664391267093e-36,True
479,1,2,200,Speed,65,2.0003687120555734e-36,True
480,1,2,200,Speed,75,2.799223701704446e-38,True
481,1,2,200,HoS,14,3.9326174349057035e-36,True
482,1,2,200,HoS,15,1.0550679742030849e-31,True
483,1,2,200,HoS,16,3.4818853369309953e-29,True
484,1,2,200,HoS,17,1.329301891007259e-27,True
