,Gates,Bays,Station_Dist,Gate_Value,Gate_OFC,Bay_Value,Bay_OFC,Speed_Value,Speed_OFC,Fleet_Value,Fleet_OFC,Best_Intrv,Best_Value,Best_OFC
0,1,1,25,10.0,0.189,15.0,0.4458,,,25.0,0.1863,Terminal Bay Time,15.0,0.4458
1,1,1,50,,,15.0,0.4353,35.0,0.1835999999999999,25.0,0.1818,Terminal Bay Time,15.0,0.4353
2,1,1,100,,,15.0,0.4157999999999999,55.0,0.1776,25.0,0.1764,Terminal Bay Time,15.0,0.4157999999999999
3,1,1,150,,,15.0,0.3959999999999999,55.0,0.1707,25.0,0.1698,Terminal Bay Time,15.0,0.3959999999999999
4,1,1,200,,,15.0,0.3723,65.0,0.1695,25.0,0.1556999999999999,Terminal Bay Time,15.0,0.3723
5,1,1,300,,,15.0,0.3336,75.0,0.1616999999999999,25.0,0.1415999999999999,Terminal Bay Time,15.0,0.3336
6,1,2,25,10.0,0.3726,15.0,0.8655000000000002,35.0,0.372,75.0,0.3753,Terminal Bay Time,15.0,0.8655000000000002
7,1,2,50,10.0,0.3620999999999998,15.0,0.8526000000000001,35.0,0.3623999999999999,50.0,0.3656999999999998,Terminal Bay Time,15.0,0.8526000000000001
8,1,2,100,10.0,0.3486000000000001,15.0,0.8177999999999997,65.0,0.3594,25.0,0.3408,Terminal Bay Time,15.0,0.8177999999999997
9,1,2,150,15.0,0.3273,15.0,0.7713000000000001,65.0,0.3462,50.0,0.3306,Terminal Bay Time,15.0,0.7713000000000001
10,1,2,200,15.0,0.3110999999999999,15.0,0.7241999999999998,65.0,0.3381,50.0,0.3147,Terminal Bay Time,15.0,0.7241999999999998
11,1,2,300,15.0,0.2772,15.0,0.5886,75.0,0.3206999999999999,50.0,0.276,Terminal Bay Time,15.0,0.5886
12,1,3,25,10.0,0.5513999999999999,20.0,0.9218999999999998,55.0,0.5564999999999999,100.0,0.5642999999999999,Terminal Bay Time,20.0,0.9218999999999998
13,1,3,50,10.0,0.5397,20.0,0.8942999999999998,55.0,0.5495999999999999,50.0,0.5459999999999999,Terminal Bay Time,20.0,0.8942999999999998
14,1,3,100,10.0,0.5157,20.0,0.8522999999999998,65.0,0.5367,75.0,0.5216999999999999,Terminal Bay Time,20.0,0.8522999999999998
15,1,3,150,10.0,0.4899,20.0,0.8214,65.0,0.5172,50.0,0.4910999999999999,Terminal Bay Time,20.0,0.8214
16,1,3,200,10.0,0.4574999999999999,20.0,0.7425000000000002,65.0,0.5034,50.0,0.4656,Terminal Bay Time,20.0,0.7425000000000002
17,1,3,300,10.0,0.4058999999999999,22.5,0.5946,75.0,0.4788,50.0,0.4146000000000001,Terminal Bay Time,22.5,0.5946
18,1,4,25,8.0,0.7301999999999998,27.5,0.9093,45.0,0.7397999999999999,75.0,0.7445999999999999,Terminal Bay Time,27.5,0.9093
19,1,4,50,8.0,0.711,27.5,0.8865000000000001,45.0,0.7208999999999999,50.0,0.7190999999999999,Terminal Bay Time,27.5,0.8865000000000001
20,1,4,100,8.0,0.6786,27.5,0.8373,55.0,0.7001999999999998,75.0,0.6921000000000003,Terminal Bay Time,27.5,0.8373
21,1,4,150,8.0,0.6476999999999999,27.5,0.798,75.0,0.684,75.0,0.6549,Terminal Bay Time,27.5,0.798
22,1,4,200,8.0,0.6098999999999999,27.5,0.7313999999999999,75.0,0.6777,50.0,0.6183,Terminal Bay Time,27.5,0.7313999999999999
23,1,4,300,9.0,0.5226000000000001,27.5,0.5960999999999999,75.0,0.6260999999999999,75.0,0.5487,Transportation Speed,75.0,0.6260999999999999
24,1,5,25,7.0,0.9048,32.5,0.9086999999999998,45.0,0.8951999999999998,75.0,0.9159,Transportation Fleet,75.0,0.9159
25,1,5,50,6.0,0.8907,32.5,0.8852999999999999,45.0,0.8718000000000001,75.0,0.8963999999999999,Transportation Fleet,75.0,0.8963999999999999
26,1,5,100,6.0,0.8412,35.0,0.8324999999999998,45.0,0.8376,75.0,0.8508,Transportation Fleet,75.0,0.8508
27,1,5,150,6.0,0.7896000000000001,35.0,0.7878000000000003,75.0,0.8334,75.0,0.8096999999999998,Transportation Speed,75.0,0.8334
28,1,5,200,7.0,0.7211999999999998,32.5,0.7239000000000001,75.0,0.8118,75.0,0.7683000000000002,Transportation Speed,75.0,0.8118
29,1,5,300,7.0,0.5820000000000001,35.0,0.5787,75.0,0.7532999999999999,75.0,0.6879000000000002,Transportation Speed,75.0,0.7532999999999999
30,1,6,25,5.0,1.0662,40.0,0.8924999999999997,55.0,0.9072,100.0,0.9291,Terminal Gate Time,5.0,1.0662
31,1,6,50,5.0,1.0416,40.0,0.8679000000000001,45.0,0.8814,75.0,0.9042,Terminal Gate Time,5.0,1.0416
32,1,6,100,5.0,0.9813,42.5,0.8145,55.0,0.8592,75.0,0.8538000000000001,Terminal Gate Time,5.0,0.9813
33,1,6,150,6.0,0.87,40.0,0.7779,65.0,0.837,75.0,0.8156999999999999,Terminal Gate Time,6.0,0.87
34,1,6,200,6.0,0.7433999999999998,40.0,0.7098,75.0,0.8136,75.0,0.7748999999999999,Transportation Speed,75.0,0.8136
35,1,6,300,6.0,0.5961000000000001,,,75.0,0.7433999999999998,75.0,0.6891000000000002,Transportation Speed,75.0,0.7433999999999998
36,1,7,25,4.0,1.2293999999999996,37.5,0.9054,45.0,0.9020999999999998,100.0,0.9273,Terminal Gate Time,4.0,1.2293999999999996
37,1,7,50,5.0,1.1664,27.5,0.8985000000000001,55.0,0.8858999999999999,75.0,0.9015,Terminal Gate Time,5.0,1.1664
38,1,7,100,5.0,1.0902,,,55.0,0.8469000000000001,75.0,0.8577,Terminal Gate Time,5.0,1.0902
39,1,7,150,4.0,0.9264,,,55.0,0.8222999999999999,75.0,0.8156999999999999,Terminal Gate Time,4.0,0.9264
40,1,7,200,6.0,0.7514999999999998,17.5,0.7434,75.0,0.8226,75.0,0.7740000000000001,Transportation Speed,75.0,0.8226
41,1,7,300,7.0,0.5850000000000002,,,75.0,0.75,75.0,0.6837,Transportation Speed,75.0,0.75
42,1,8,25,4.0,1.3830000000000002,,,65.0,0.9093,75.0,0.9243,Terminal Gate Time,4.0,1.3830000000000002
43,1,8,50,4.0,1.308,37.5,0.8772000000000002,35.0,0.8637,75.0,0.9020999999999998,Terminal Gate Time,4.0,1.308
44,1,8,100,4.0,1.1475,35.0,0.8442,65.0,0.8655000000000002,75.0,0.8546999999999999,Terminal Gate Time,4.0,1.1475
45,1,8,150,5.0,0.9084,22.5,0.8124000000000001,75.0,0.855,75.0,0.8139,Terminal Gate Time,5.0,0.9084
46,1,8,200,6.0,0.7485,40.0,0.7199999999999999,75.0,0.813,75.0,0.7794000000000002,Transportation Speed,75.0,0.813
47,1,8,300,7.0,0.5831999999999999,,,75.0,0.7460999999999999,75.0,0.6876,Transportation Speed,75.0,0.7460999999999999
48,1,9,25,3.0,1.527,35.0,0.9104999999999998,45.0,0.9045,75.0,0.9252,Terminal Gate Time,3.0,1.527
49,1,9,50,3.0,1.4582999999999993,27.5,0.8873999999999999,45.0,0.8813999999999997,75.0,0.9021,Terminal Gate Time,3.0,1.4582999999999993
50,1,9,100,4.0,1.1676,17.5,0.8619,55.0,0.8492999999999998,100.0,0.8610000000000001,Terminal Gate Time,4.0,1.1676
51,1,9,150,5.0,0.9288,,,75.0,0.8432999999999999,75.0,0.8199,Terminal Gate Time,5.0,0.9288
52,1,9,200,5.0,0.7554000000000001,,,75.0,0.8130000000000001,75.0,0.7788000000000002,Transportation Speed,75.0,0.8130000000000001
53,1,9,300,6.0,0.6083999999999999,,,75.0,0.7581000000000001,75.0,0.6894000000000001,Transportation Speed,75.0,0.7581000000000001
54,1,10,25,3.0,1.6496999999999995,27.5,0.9171,45.0,0.9051,75.0,0.9225,Terminal Gate Time,3.0,1.6496999999999995
55,1,10,50,3.0,1.551,40.0,0.8763000000000002,45.0,0.8828999999999999,75.0,0.9015,Terminal Gate Time,3.0,1.551
56,1,10,100,3.0,1.2015000000000002,15.0,0.8666999999999999,55.0,0.8538000000000001,75.0,0.8537999999999999,Terminal Gate Time,3.0,1.2015000000000002
57,1,10,150,4.0,0.9327,,,75.0,0.8462999999999999,75.0,0.8132999999999999,Terminal Gate Time,4.0,0.9327
58,1,10,200,5.0,0.7692,15.0,0.7698,75.0,0.8169000000000002,75.0,0.7701,Transportation Speed,75.0,0.8169000000000002
59,1,10,300,6.0,0.6053999999999999,32.5,0.5972999999999999,75.0,0.7430999999999999,75.0,0.6846000000000001,Transportation Speed,75.0,0.7430999999999999
60,1,11,25,2.0,1.7955,42.5,0.8936999999999998,55.0,0.909,100.0,0.9288,Terminal Gate Time,2.0,1.7955
61,1,11,50,3.0,1.6266,25.0,0.894,35.0,0.8637000000000001,75.0,0.9027,Terminal Gate Time,3.0,1.6266
62,1,11,100,3.0,1.1943,30.0,0.8438999999999999,45.0,0.8255999999999999,75.0,0.8556,Terminal Gate Time,3.0,1.1943
63,1,11,150,5.0,0.9138,,,65.0,0.8313,75.0,0.8154,Terminal Gate Time,5.0,0.9138
64,1,11,200,5.0,0.7713000000000001,22.5,0.7434000000000002,75.0,0.8141999999999999,75.0,0.7722,Transportation Speed,75.0,0.8141999999999999
