,Iteration,Gates,Bays,Station_Dist,Truck_Speed,Flow,Trips_Per_Truck,Gate_Queue_Wait,Driving_Time,Gate_Time,Bay_Time,Truck_HoS,Fleet
0,0,1,1,25,25,171000.0,1.0,4.545,1.085,7,35,14,50
1,0,1,1,25,35,189000.0,1.0,4.801,0.787,7,35,14,50
2,0,1,1,25,45,189000.0,1.0,4.534,0.631,7,35,14,50
3,0,1,1,25,55,189000.0,1.0,4.759,0.523,7,35,14,50
4,0,1,1,25,65,189000.0,1.05,4.455,0.475,7,35,14,50
5,0,1,1,25,75,189000.0,1.0,4.706,0.401,7,35,14,50
6,1,1,1,25,25,189000.0,1.0,4.654,1.101,7,35,14,50
7,1,1,1,25,35,189000.0,1.0,4.364,0.812,7,35,14,50
8,1,1,1,25,45,189000.0,1.0,4.468,0.628,7,35,14,50
9,1,1,1,25,55,189000.0,1.0,4.726,0.515,7,35,14,50
10,1,1,1,25,65,189000.0,1.105,4.243,0.485,7,35,14,50
11,1,1,1,25,75,189000.0,1.0,4.834,0.379,7,35,14,50
12,2,1,1,25,25,180000.0,1.0,4.927,0.947,7,35,14,50
13,2,1,1,25,35,180000.0,1.0,4.803,0.696,7,35,14,50
14,2,1,1,25,45,189000.0,1.05,4.632,0.562,7,35,14,50
15,2,1,1,25,55,189000.0,1.05,4.503,0.449,7,35,14,50
16,2,1,1,25,65,189000.0,1.05,4.309,0.385,7,35,14,50
17,2,1,1,25,75,189000.0,1.0,4.992,0.327,7,35,14,50
18,3,1,1,25,25,189000.0,1.0,5.001,0.874,7,35,14,50
19,3,1,1,25,35,189000.0,1.0,4.625,0.635,7,35,14,50
20,3,1,1,25,45,189000.0,1.05,4.349,0.521,7,35,14,50
21,3,1,1,25,55,189000.0,1.05,4.617,0.448,7,35,14,50
22,3,1,1,25,65,189000.0,1.0,4.4,0.358,7,35,14,50
23,3,1,1,25,75,189000.0,1.105,4.584,0.341,7,35,14,50
24,4,1,1,25,25,189000.0,1.0,5.182,1.03,7,35,14,50
25,4,1,1,25,35,189000.0,1.05,4.894,0.796,7,35,14,50
26,4,1,1,25,45,198000.0,1.048,4.512,0.611,7,35,14,50
27,4,1,1,25,55,189000.0,1.05,4.785,0.52,7,35,14,50
28,4,1,1,25,65,189000.0,1.05,4.673,0.438,7,35,14,50
29,4,1,1,25,75,189000.0,1.105,4.551,0.401,7,35,14,50
30,5,1,1,25,25,189000.0,1.05,4.708,0.889,7,35,14,50
31,5,1,1,25,35,189000.0,1.05,4.365,0.65,7,35,14,50
32,5,1,1,25,45,189000.0,1.105,4.407,0.571,7,35,14,50
33,5,1,1,25,55,189000.0,1.05,4.588,0.44,7,35,14,50
34,5,1,1,25,65,180000.0,1.053,4.35,0.366,7,35,14,50
35,5,1,1,25,75,189000.0,1.05,4.686,0.322,7,35,14,50
36,6,1,1,25,25,180000.0,1.0,4.599,0.933,7,35,14,50
37,6,1,1,25,35,189000.0,1.05,4.561,0.698,7,35,14,50
38,6,1,1,25,45,189000.0,1.05,4.695,0.557,7,35,14,50
39,6,1,1,25,55,189000.0,1.05,4.718,0.458,7,35,14,50
40,6,1,1,25,65,189000.0,1.05,4.69,0.384,7,35,14,50
41,6,1,1,25,75,189000.0,1.05,4.558,0.338,7,35,14,50
42,7,1,1,25,25,189000.0,1.0,4.747,1.0,7,35,14,50
43,7,1,1,25,35,189000.0,1.05,4.202,0.741,7,35,14,50
44,7,1,1,25,45,189000.0,1.0,4.29,0.568,7,35,14,50
45,7,1,1,25,55,189000.0,1.05,4.147,0.474,7,35,14,50
46,7,1,1,25,65,189000.0,1.0,4.809,0.378,7,35,14,50
47,7,1,1,25,75,189000.0,1.0,4.882,0.338,7,35,14,50
48,8,1,1,25,25,189000.0,1.05,4.328,1.087,7,35,14,50
49,8,1,1,25,35,189000.0,1.0,5.029,0.759,7,35,14,50
50,8,1,1,25,45,189000.0,1.05,4.979,0.619,7,35,14,50
51,8,1,1,25,55,180000.0,1.0,4.603,0.473,7,35,14,50
52,8,1,1,25,65,189000.0,1.0,4.908,0.413,7,35,14,50
53,8,1,1,25,75,189000.0,1.05,4.531,0.369,7,35,14,50
54,9,1,1,25,25,189000.0,1.0,4.863,1.056,7,35,14,50
55,9,1,1,25,35,189000.0,1.0,4.808,0.742,7,35,14,50
56,9,1,1,25,45,189000.0,1.0,4.784,0.61,7,35,14,50
57,9,1,1,25,55,189000.0,1.05,4.719,0.516,7,35,14,50
58,9,1,1,25,65,189000.0,1.05,4.604,0.44,7,35,14,50
59,9,1,1,25,75,189000.0,1.05,4.759,0.381,7,35,14,50
60,10,1,1,25,25,180000.0,1.0,4.88,1.048,7,35,14,50
61,10,1,1,25,35,180000.0,1.053,4.634,0.804,7,35,14,50
62,10,1,1,25,45,180000.0,1.053,4.603,0.654,7,35,14,50
63,10,1,1,25,55,189000.0,1.05,4.841,0.511,7,35,14,50
64,10,1,1,25,65,189000.0,1.05,4.748,0.446,7,35,14,50
65,10,1,1,25,75,180000.0,1.053,4.382,0.379,7,35,14,50
66,11,1,1,25,25,189000.0,1.105,4.307,0.947,7,35,14,50
67,11,1,1,25,35,180000.0,1.053,4.716,0.663,7,35,14,50
68,11,1,1,25,45,189000.0,1.05,4.609,0.521,7,35,14,50
69,11,1,1,25,55,189000.0,1.05,4.728,0.425,7,35,14,50
70,11,1,1,25,65,189000.0,1.105,4.242,0.377,7,35,14,50
71,11,1,1,25,75,198000.0,1.048,4.597,0.306,7,35,14,50
72,12,1,1,25,25,180000.0,1.0,4.01,1.06,7,35,14,50
