,Gates,Bays,Station_Dist,Parameter,Value,p-value,DES_Mono,Avg_OFC
0,1,1,25,Gate,1,0.6410080705058827,False,0.18925000000000003
1,1,1,25,Gate,2,0.7973925780612282,True,0.18975
2,1,1,25,Gate,3,1.0,True,0.1895
3,1,1,25,Gate,4,0.2923234231775023,True,0.1895
4,1,1,25,Gate,5,0.41307686020370393,False,0.1885
5,1,1,25,Gate,6,0.09622346103898584,True,0.18925000000000003
6,1,1,25,Gate,7,0.41827770515634877,True,0.18800000000000003
7,1,1,25,Gate,8,0.8097051195875257,False,0.18725
8,1,1,25,Gate,9,0.15579526526752668,False,0.1875
9,1,1,25,Gate,10,0.00682681927788238,True,0.189
10,1,1,25,Gate,15,1.0,True,0.186
11,1,1,25,Bay,15.0,8.185877278219974e-43,True,0.44580000000000003
12,1,1,25,Bay,17.5,1.5609876334074344e-38,True,0.3798000000000001
13,1,1,25,Bay,20.0,2.7840534394712643e-31,True,0.3321
14,1,1,25,Bay,22.5,1.3602601009014798e-27,True,0.2952
15,1,1,25,Bay,25.0,1.9065704488264082e-25,True,0.264
16,1,1,25,Bay,27.5,1.1314592872285288e-20,True,0.23940000000000003
17,1,1,25,Bay,30.0,3.711418910482714e-18,True,0.2196
18,1,1,25,Bay,32.5,1.9933414122369455e-17,True,0.20279999999999998
19,1,1,25,Bay,35.0,7.004611240141728e-14,True,0.1884
20,1,1,25,Bay,37.5,2.6394467058647114e-18,True,0.177
21,1,1,25,Bay,40.0,3.3588147384476405e-11,True,0.1629
22,1,1,25,Bay,42.5,2.6976444550286587e-14,True,0.15419999999999995
23,1,1,25,Speed,35,0.21427022505558152,True,0.1872
24,1,1,25,Speed,45,0.13064715835389912,True,0.18900000000000003
25,1,1,25,Speed,55,0.5995206647865838,False,0.1884
26,1,1,25,Speed,65,0.2556320449613495,True,0.18960000000000002
27,1,1,25,Speed,75,1.0,True,0.18960000000000002
28,1,1,25,HoS,15,3.3800803647032164e-19,True,0.2037
29,1,1,25,HoS,16,1.867245402845039e-16,True,0.2193
30,1,1,25,HoS,17,1.0751656715072158e-13,True,0.2334
31,1,1,25,HoS,18,6.50670827692302e-18,True,0.2501999999999999
32,1,1,25,Fleet,25,2.1751626314526225e-05,True,0.18630000000000002
33,1,1,25,Fleet,50,0.31803619165348235,True,0.18780000000000002
34,1,1,25,Fleet,75,0.7909770659456925,False,0.1875
35,1,1,25,Fleet,100,0.10900731466271821,True,0.18930000000000005
36,1,1,25,Fleet,125,0.744199241651592,False,0.189
37,1,1,25,Fleet,150,1.0,True,0.189
38,1,1,25,Fleet,175,0.25024917510814665,True,0.1902
39,1,1,25,Fleet,200,0.7741781149712134,True,0.19050000000000006
40,1,1,50,Gate,1,0.8076954199231516,True,0.1857
41,1,1,50,Gate,2,0.4980429225311962,True,0.18539999999999998
