,Iteration,Group,Flow,Flow_MMgal,Trips_Per_Truck,Gate_Queue_Wait,Driving_Time
0,0,Evansville,693000.0,0.693,1.711,0.0,5.865
1,0,Little Rock,3330000.0,3.33,2.403,0.007,4.767
2,0,Memphis,3384000.0,3.384,1.573,1.435,4.018
3,0,St. Louis,2664000.0,2.664,1.184,3.289,1.797
4,1,Evansville,747000.0,0.747,1.844,0.0,5.541
5,1,Little Rock,3240000.0,3.24,2.338,0.004,5.141
6,1,Memphis,3312000.0,3.312,1.566,1.456,3.874
7,1,St. Louis,2691000.0,2.691,1.191,3.426,1.832
8,2,Evansville,738000.0,0.738,1.822,0.0,6.261
9,2,Little Rock,3123000.0,3.123,2.253,0.008,4.958
10,2,Memphis,3402000.0,3.402,1.588,1.263,4.066
11,2,St. Louis,2700000.0,2.7,1.163,3.513,1.746
12,3,Evansville,756000.0,0.756,1.867,0.0,6.339
13,3,Little Rock,3258000.0,3.258,2.351,0.004,5.048
14,3,Memphis,3375000.0,3.375,1.589,1.435,4.027
15,3,St. Louis,2646000.0,2.646,1.153,3.489,1.825
16,4,Evansville,702000.0,0.702,1.733,0.0,6.184
17,4,Little Rock,3312000.0,3.312,2.39,0.005,5.033
18,4,Memphis,3312000.0,3.312,1.559,1.433,3.87
19,4,St. Louis,2646000.0,2.646,1.185,3.428,1.801
20,5,Evansville,702000.0,0.702,1.733,0.0,6.167
21,5,Little Rock,3276000.0,3.276,2.364,0.007,4.93
22,5,Memphis,3258000.0,3.258,1.534,1.437,3.965
23,5,St. Louis,2682000.0,2.682,1.164,3.524,1.688
24,6,Evansville,702000.0,0.702,1.733,0.0,5.906
25,6,Little Rock,3222000.0,3.222,2.325,0.007,4.883
26,6,Memphis,3330000.0,3.33,1.568,1.482,3.841
27,6,St. Louis,2718000.0,2.718,1.189,3.479,1.72
28,7,Evansville,711000.0,0.711,1.756,0.0,6.15
29,7,Little Rock,3249000.0,3.249,2.344,0.004,5.074
30,7,Memphis,3339000.0,3.339,1.579,1.56,3.788
31,7,St. Louis,2646000.0,2.646,1.157,3.47,1.829
32,8,Evansville,666000.0,0.666,1.644,0.0,6.238
33,8,Little Rock,3366000.0,3.366,2.429,0.004,5.092
34,8,Memphis,3312000.0,3.312,1.553,1.297,4.082
35,8,St. Louis,2637000.0,2.637,1.163,3.55,1.73
36,9,Evansville,693000.0,0.693,1.711,0.0,5.638
37,9,Little Rock,3114000.0,3.114,2.247,0.006,5.231
38,9,Memphis,3303000.0,3.303,1.542,1.439,3.981
39,9,St. Louis,2664000.0,2.664,1.143,3.434,1.826
40,10,Evansville,729000.0,0.729,1.8,0.0,6.257
41,10,Little Rock,3222000.0,3.222,2.325,0.004,4.951
42,10,Memphis,3276000.0,3.276,1.536,1.452,3.837
43,10,St. Louis,2637000.0,2.637,1.145,3.386,1.802
44,11,Evansville,711000.0,0.711,1.756,0.0,6.298
45,11,Little Rock,3276000.0,3.276,2.364,0.008,5.023
46,11,Memphis,3330000.0,3.33,1.568,1.513,3.774
47,11,St. Louis,2673000.0,2.673,1.151,3.378,1.768
48,12,Evansville,729000.0,0.729,1.8,0.0,6.137
49,12,Little Rock,3294000.0,3.294,2.377,0.002,5.176
50,12,Memphis,3321000.0,3.321,1.557,1.517,3.809
51,12,St. Louis,2709000.0,2.709,1.158,3.495,1.847
52,13,Evansville,693000.0,0.693,1.711,0.0,6.146
53,13,Little Rock,3285000.0,3.285,2.37,0.007,4.924
54,13,Memphis,3321000.0,3.321,1.557,1.454,3.848
55,13,St. Louis,2682000.0,2.682,1.183,3.546,1.729
56,14,Evansville,720000.0,0.72,1.778,0.0,6.06
57,14,Little Rock,3231000.0,3.231,2.331,0.005,5.198
58,14,Memphis,3384000.0,3.384,1.593,1.403,3.878
59,14,St. Louis,2637000.0,2.637,1.172,3.39,1.899
60,15,Evansville,720000.0,0.72,1.778,0.0,5.945
61,15,Little Rock,3231000.0,3.231,2.331,0.008,5.127
62,15,Memphis,3366000.0,3.366,1.585,1.425,3.759
63,15,St. Louis,2664000.0,2.664,1.147,3.469,1.905
64,16,Evansville,684000.0,0.684,1.689,0.0,6.014
65,16,Little Rock,3294000.0,3.294,2.377,0.009,5.029
66,16,Memphis,3231000.0,3.231,1.528,1.446,3.943
67,16,St. Louis,2664000.0,2.664,1.152,3.443,1.844
68,17,Evansville,693000.0,0.693,1.711,0.0,5.687
69,17,Little Rock,3276000.0,3.276,2.364,0.002,5.295
70,17,Memphis,3321000.0,3.321,1.577,1.387,3.923
71,17,St. Louis,2655000.0,2.655,1.13,3.413,1.781
72,18,Evansville,639000.0,0.639,1.578,0.0,6.018
73,18,Little Rock,3240000.0,3.24,2.338,0.007,5.152
74,18,Memphis,3312000.0,3.312,1.579,1.402,3.959
75,18,St. Louis,2691000.0,2.691,1.173,3.476,1.848
76,19,Evansville,702000.0,0.702,1.733,0.0,6.191
77,19,Little Rock,3186000.0,3.186,2.299,0.005,5.128
78,19,Memphis,3357000.0,3.357,1.561,1.467,3.832
79,19,St. Louis,2718000.0,2.718,1.194,3.453,1.714
80,20,Evansville,702000.0,0.702,1.733,0.0,6.127
81,20,Little Rock,3249000.0,3.249,2.344,0.004,5.203
82,20,Memphis,3276000.0,3.276,1.549,1.409,3.958
83,20,St. Louis,2610000.0,2.61,1.16,3.451,1.764
84,21,Evansville,702000.0,0.702,1.733,0.0,5.745
85,21,Little Rock,3213000.0,3.213,2.318,0.005,4.884
86,21,Memphis,3276000.0,3.276,1.549,1.579,3.757
87,21,St. Louis,2637000.0,2.637,1.196,3.321,1.856
88,22,Evansville,720000.0,0.72,1.778,0.0,5.827
89,22,Little Rock,3240000.0,3.24,2.338,0.01,5.058
90,22,Memphis,3294000.0,3.294,1.564,1.543,3.882
91,22,St. Louis,2673000.0,2.673,1.179,3.366,1.806
92,23,Evansville,666000.0,0.666,1.644,0.0,5.568
93,23,Little Rock,3222000.0,3.222,2.325,0.007,5.104
94,23,Memphis,3258000.0,3.258,1.547,1.425,3.829
95,23,St. Louis,2655000.0,2.655,1.185,3.471,1.757
96,24,Evansville,666000.0,0.666,1.644,0.0,6.118
97,24,Little Rock,3204000.0,3.204,2.312,0.008,4.883
98,24,Memphis,3384000.0,3.384,1.593,1.58,3.717
99,24,St. Louis,2682000.0,2.682,1.178,3.568,1.755
100,25,Evansville,693000.0,0.693,1.711,0.0,5.496
101,25,Little Rock,3267000.0,3.267,2.357,0.005,4.976
102,25,Memphis,3240000.0,3.24,1.545,1.43,3.924
103,25,St. Louis,2673000.0,2.673,1.174,3.363,1.707
104,26,Evansville,720000.0,0.72,1.778,0.0,6.128
105,26,Little Rock,3186000.0,3.186,2.299,0.002,5.153
106,26,Memphis,3366000.0,3.366,1.605,1.349,4.232
107,26,St. Louis,2610000.0,2.61,1.174,3.384,1.94
108,27,Evansville,657000.0,0.657,1.622,0.0,6.057
109,27,Little Rock,3195000.0,3.195,2.305,0.005,4.819
110,27,Memphis,3285000.0,3.285,1.56,1.363,3.944
111,27,St. Louis,2646000.0,2.646,1.195,3.437,1.839
112,28,Evansville,747000.0,0.747,1.844,0.0,6.207
113,28,Little Rock,3213000.0,3.213,2.318,0.007,4.889
114,28,Memphis,3303000.0,3.303,1.555,1.557,3.61
115,28,St. Louis,2664000.0,2.664,1.156,3.494,1.842
116,29,Evansville,648000.0,0.648,1.6,0.0,6.008
117,29,Little Rock,3303000.0,3.303,2.383,0.004,4.842
118,29,Memphis,3303000.0,3.303,1.549,1.382,3.938
119,29,St. Louis,2664000.0,2.664,1.156,3.382,1.878
120,30,Evansville,765000.0,0.765,1.889,0.0,5.859
121,30,Little Rock,3348000.0,3.348,2.416,0.006,4.934
122,30,Memphis,3330000.0,3.33,1.568,1.337,4.049
123,30,St. Louis,2673000.0,2.673,1.165,3.497,1.766
124,31,Evansville,666000.0,0.666,1.644,0.0,6.238
125,31,Little Rock,3249000.0,3.249,2.344,0.008,5.145
126,31,Memphis,3213000.0,3.213,1.532,1.492,3.898
127,31,St. Louis,2682000.0,2.682,1.164,3.582,1.8
128,32,Evansville,729000.0,0.729,1.8,0.0,6.113
129,32,Little Rock,3312000.0,3.312,2.39,0.007,5.018
130,32,Memphis,3258000.0,3.258,1.534,1.554,3.795
131,32,St. Louis,2700000.0,2.7,1.149,3.656,1.772
132,33,Evansville,639000.0,0.639,1.578,0.0,5.703
133,33,Little Rock,3348000.0,3.348,2.416,0.003,5.286
134,33,Memphis,3267000.0,3.267,1.532,1.449,3.778
135,33,St. Louis,2655000.0,2.655,1.166,3.374,1.87
136,34,Evansville,693000.0,0.693,1.711,0.0,5.949
137,34,Little Rock,3231000.0,3.231,2.331,0.008,5.07
138,34,Memphis,3357000.0,3.357,1.581,1.528,3.75
139,34,St. Louis,2682000.0,2.682,1.192,3.495,1.77
140,35,Evansville,666000.0,0.666,1.644,0.0,6.388
141,35,Little Rock,3195000.0,3.195,2.305,0.01,4.955
142,35,Memphis,3402000.0,3.402,1.595,1.547,3.751
143,35,St. Louis,2682000.0,2.682,1.183,3.395,1.838
144,36,Evansville,693000.0,0.693,1.711,0.0,6.303
145,36,Little Rock,3312000.0,3.312,2.39,0.008,4.836
146,36,Memphis,3285000.0,3.285,1.553,1.409,3.892
147,36,St. Louis,2691000.0,2.691,1.15,3.424,1.848
148,37,Evansville,720000.0,0.72,1.778,0.0,6.101
149,37,Little Rock,3222000.0,3.222,2.325,0.003,4.986
150,37,Memphis,3285000.0,3.285,1.587,1.45,3.97
151,37,St. Louis,2664000.0,2.664,1.17,3.559,1.834
152,38,Evansville,711000.0,0.711,1.756,0.0,5.715
153,38,Little Rock,3078000.0,3.078,2.221,0.006,4.995
154,38,Memphis,3384000.0,3.384,1.593,1.518,3.746
155,38,St. Louis,2655000.0,2.655,1.166,3.465,1.931
156,39,Evansville,774000.0,0.774,1.911,0.0,5.643
157,39,Little Rock,3123000.0,3.123,2.253,0.012,4.909
158,39,Memphis,3330000.0,3.33,1.555,1.574,3.771
159,39,St. Louis,2664000.0,2.664,1.165,3.525,1.727
160,40,Evansville,702000.0,0.702,1.733,0.0,6.174
161,40,Little Rock,3339000.0,3.339,2.409,0.006,4.915
162,40,Memphis,3330000.0,3.33,1.555,1.57,3.657
163,40,St. Louis,2646000.0,2.646,1.162,3.431,1.682
164,41,Evansville,711000.0,0.711,1.756,0.0,5.901
165,41,Little Rock,3231000.0,3.231,2.331,0.004,5.002
166,41,Memphis,3348000.0,3.348,1.576,1.506,3.79
167,41,St. Louis,2637000.0,2.637,1.206,3.383,1.827
168,42,Evansville,801000.0,0.801,1.978,0.0,5.707
169,42,Little Rock,3249000.0,3.249,2.344,0.004,5.114
170,42,Memphis,3222000.0,3.222,1.523,1.395,3.991
171,42,St. Louis,2691000.0,2.691,1.196,3.494,1.862
172,43,Evansville,738000.0,0.738,1.822,0.0,5.727
173,43,Little Rock,3114000.0,3.114,2.247,0.003,5.066
174,43,Memphis,3411000.0,3.411,1.613,1.45,3.941
175,43,St. Louis,2682000.0,2.682,1.137,3.359,1.81
176,44,Evansville,729000.0,0.729,1.8,0.0,6.328
177,44,Little Rock,3276000.0,3.276,2.364,0.006,5.127
178,44,Memphis,3285000.0,3.285,1.56,1.57,3.844
179,44,St. Louis,2673000.0,2.673,1.174,3.459,1.903
180,45,Evansville,675000.0,0.675,1.667,0.0,6.068
181,45,Little Rock,3321000.0,3.321,2.396,0.003,4.911
182,45,Memphis,3357000.0,3.357,1.567,1.359,4.044
183,45,St. Louis,2646000.0,2.646,1.171,3.412,1.779
184,46,Evansville,729000.0,0.729,1.8,0.0,6.36
185,46,Little Rock,3123000.0,3.123,2.253,0.005,4.866
186,46,Memphis,3429000.0,3.429,1.601,1.531,3.821
187,46,St. Louis,2628000.0,2.628,1.141,3.641,1.768
188,47,Evansville,756000.0,0.756,1.867,0.0,5.849
189,47,Little Rock,3213000.0,3.213,2.318,0.006,5.116
190,47,Memphis,3411000.0,3.411,1.606,1.442,4.002
191,47,St. Louis,2646000.0,2.646,1.171,3.555,1.686
192,48,Evansville,711000.0,0.711,1.756,0.0,6.07
193,48,Little Rock,3213000.0,3.213,2.318,0.009,5.021
194,48,Memphis,3312000.0,3.312,1.579,1.494,3.876
195,48,St. Louis,2682000.0,2.682,1.173,3.399,1.817
196,49,Evansville,693000.0,0.693,1.711,0.0,5.821
197,49,Little Rock,3420000.0,3.42,2.468,0.006,5.122
198,49,Memphis,3267000.0,3.267,1.545,1.593,3.571
199,49,St. Louis,2673000.0,2.673,1.174,3.322,1.841
