,Stations,fuellocation_id,"County, State",station_lat,station_long,group_name,group_lat,group_long,station_group_dist
0,s0001,4165,"Mississippi, MO",36.919854,-89.324012,Evansville,37.91721685714286,-87.80469485714285,137.5489639974112
1,s0002,7733,"Dunklin, MO",36.5640002038,-89.9710029893,Memphis,35.114427,-90.0943486,134.739372015664
2,s0003,17641,"Butler, MO",36.7697662528,-90.417097641,Memphis,35.114427,-90.0943486,165.43367974672242
3,s0004,18147,"New Madrid, MO",36.4241211878,-89.6907001921,Memphis,35.114427,-90.0943486,108.36607955377359
4,s0005,19039,"Madison, MO",37.5593247331,-90.2884646839,St. Louis,38.62374616666666,-90.28194716666667,87.4661973737344
5,s0006,19167,"Butler, MO",36.7583481367,-90.3840668499,Memphis,35.114427,-90.0943486,165.7388351391136
6,s0007,21380,"New Madrid, MO",36.6709930416,-89.5355594158,Memphis,35.114427,-90.0943486,127.5564453103824
7,s0008,21405,"Stoddard, MO",36.7930296697,-89.9488134974,Memphis,35.114427,-90.0943486,150.9231089855424
8,s0009,21406,"Cape Girardeau, MO",37.4381347008,-89.6369350789,St. Louis,38.62374616666666,-90.28194716666667,102.4879702145728
9,s0010,25261,"Jefferson, IL",38.1543969038,-88.910259821,Evansville,37.91721685714286,-87.80469485714285,92.69025139623601
10,s0011,51117,"Sainte Genevieve, MO",38.0056571267,-90.2252669877,St. Louis,38.62374616666666,-90.28194716666667,50.180570449297605
11,s0012,51119,"Iron, MO",37.6204225962,-90.6445338603,St. Louis,38.62374616666666,-90.28194716666667,85.29636917127041
12,s0013,78907,"Williamson, IL",37.7403533923,-88.9229703007,Evansville,37.91721685714286,-87.80469485714285,72.4862428141176
13,s0014,91639,"Jackson, IL",37.726604833,-89.1975780086,Evansville,37.91721685714286,-87.80469485714285,88.1317480574856
14,s0015,92067,"Scott, MO",37.0959338756,-89.5629424387,Evansville,37.91721685714286,-87.80469485714285,147.3940313005784
15,s0016,93322,"Jackson, IL",37.9324026865,-89.5535066837,St. Louis,38.62374616666666,-90.28194716666667,74.0955320642784
16,s0017,107042,"Wayne, MO",36.9153122084,-90.2796471119,St. Louis,38.62374616666666,-90.28194716666667,143.336042456984
17,s0018,107783,"Bollinger, MO",37.0936862593,-90.0771891337,St. Louis,38.62374616666666,-90.28194716666667,134.4223484335056
