,station_id,fuellocation_id,station_name,station_county,station_lat,station_long,group_name,group_lat,group_long,Distance
0,s0001,4165,CASEYS GENERAL STORE #2907 (DISCOUNT AVAILABLE),Mississippi,36.919854,-89.324012,Cape Girardeau,37.252811,-89.521555,41.38773312
1,s0002,7733,AMERIMART #27,Dunklin,36.5640002,-89.97100299,Cape Girardeau,37.252811,-89.521555,70.04406762
2,s0003,17641,EXPRESS MART,Butler,36.76976625,-90.41709764,Cape Girardeau,37.252811,-89.521555,80.64646213
3,s0004,18147,GAS N GOODIES,New Madrid,36.42412119,-89.69070019,Cape Girardeau,37.252811,-89.521555,62.24790968
4,s0005,19039,CHUCKS SHORT STOP,Madison,37.55932473,-90.28846468,Cape Girardeau,37.252811,-89.521555,55.26500236
5,s0006,19167,MONEY MIZER,Butler,36.75834814,-90.38406685,Cape Girardeau,37.252811,-89.521555,78.28239329
6,s0007,21380,BJS TRAVEL CENTER,New Madrid,36.67099304,-89.53555942,Cape Girardeau,37.252811,-89.521555,42.7513322
7,s0008,21405,GARYS QUICK SHOP,Stoddard,36.79302967,-89.9488135,Cape Girardeau,37.252811,-89.521555,53.97199105
8,s0009,21406,AMERIMART # 11,Cape Girardeau,37.4381347,-89.63693508,Cape Girardeau,37.252811,-89.521555,17.40808677
9,s0010,25261,SPEEDWAY #7423,Jefferson,38.1543969,-88.91025982,Cape Girardeau,37.252811,-89.521555,92.37720459
10,s0011,51117,LOVES TRAVEL STOP #488,Sainte Genevieve,38.00565713,-90.22526699,Cape Girardeau,37.252811,-89.521555,68.8236946
11,s0012,51119,STEVES GAS AND LIQUOR,Iron,37.6204226,-90.64453386,Cape Girardeau,37.252811,-89.521555,78.19459354
12,s0013,78907,ROC ONE STOP #10,Williamson,37.74035339,-88.9229703,Cape Girardeau,37.252811,-89.521555,64.94838888
13,s0014,91639,FOOD AND FUEL #2,Jackson,37.72660483,-89.19757801,Cape Girardeau,37.252811,-89.521555,54.59640696
14,s0015,92067,AMERIMART #09,Scott,37.09593388,-89.56294244,Cape Girardeau,37.252811,-89.521555,15.68104768
15,s0016,93322,THE CUPBOARD,Jackson,37.93240269,-89.55350668,Cape Girardeau,37.252811,-89.521555,63.44386282
16,s0017,107042,Millie's,Wayne,36.91531221,-90.27964711,Cape Girardeau,37.252811,-89.521555,55.95099616
17,s0018,107783,ARAB STATION,Bollinger,37.09368626,-90.07718913,Cape Girardeau,37.252811,-89.521555,34.28297491
18,s0019,108228,ZX #160,Cape Girardeau,37.37113061,-89.64817406,Cape Girardeau,37.252811,-89.521555,13.72832657
19,s0020,128554,C MART,Stoddard,36.88349651,-89.92402875,Cape Girardeau,37.252811,-89.521555,40.10012774
20,s0021,129213,MINIT FOOD MART,Butler,36.80196433,-90.45668209,Cape Girardeau,37.252811,-89.521555,81.53210249
21,s0022,129305,CIRCLE K #1332,Williamson,37.741589,-88.948255,Cape Girardeau,37.252811,-89.521555,63.62673236
22,s0023,129378,CIRCLE K #1351,Franklin,37.976096,-89.053286,Cape Girardeau,37.252811,-89.521555,87.7943435
23,s0024,135273,ROC ONE STOP,Williamson,37.81694939,-88.94228461,Cape Girardeau,37.252811,-89.521555,68.74838441
24,s0025,137105,RHODES 101 STOP #335,Perry,37.70833547,-89.89352167,Cape Girardeau,37.252811,-89.521555,40.79848682
25,s0026,139455,WESTOWN SHELL,Jackson,37.72927692,-89.24269948,Cape Girardeau,37.252811,-89.521555,55.00147884
