,station_id,fuellocation_id,station_name,station_county,station_lat,station_long,group_name,group_lat,group_long,NN LAT,NN LONG,NN GROUP
0,s0001,4165,CASEYS GENERAL STORE #2907 (DISCOUNT AVAILABLE),Mississippi,36.919854,-89.324012,Cape Girardeau,37.252811,41.38773312266321,41.38773312266321,,
1,s0002,7733,AMERIMART #27,Dunklin,36.5640002038,-89.9710029893,Cape Girardeau,37.252811,43.672390721408796,43.672390721408796,,
2,s0003,17641,EXPRESS MART,Butler,36.7697662528,-90.417097641,Cape Girardeau,37.252811,66.386366096492,66.386366096492,,
3,s0004,18147,GAS N GOODIES,New Madrid,36.4241211878,-89.6907001921,Cape Girardeau,37.252811,49.7871803476424,49.7871803476424,,
4,s0005,19039,CHUCKS SHORT STOP,Madison,37.5593247331,-90.2884646839,Cape Girardeau,37.252811,55.2650023649568,55.2650023649568,,
5,s0006,19167,MONEY MIZER,Butler,36.7583481367,-90.3840668499,Cape Girardeau,37.252811,65.466736732332,65.466736732332,,
6,s0007,21380,BJS TRAVEL CENTER,New Madrid,36.6709930416,-89.5355594158,Cape Girardeau,37.252811,42.751332203507204,42.751332203507204,,
7,s0008,21405,GARYS QUICK SHOP,Stoddard,36.7930296697,-89.9488134974,Cape Girardeau,37.252811,53.971991051524,53.971991051524,,
8,s0009,21406,AMERIMART # 11,Cape Girardeau,37.4381347008,-89.6369350789,Cape Girardeau,37.252811,17.4080867665952,17.4080867665952,,
9,s0010,25261,SPEEDWAY #7423,Jefferson,38.1543969038,-88.910259821,Cape Girardeau,37.252811,92.69018925911679,92.69018925911679,,
10,s0011,51117,LOVES TRAVEL STOP #488,Sainte Genevieve,38.0056571267,-90.2252669877,Cape Girardeau,37.252811,50.180694723536,50.180694723536,,
11,s0012,51119,STEVES GAS AND LIQUOR,Iron,37.6204225962,-90.6445338603,Cape Girardeau,37.252811,78.194593543664,78.194593543664,,
12,s0013,78907,ROC ONE STOP #10,Williamson,37.7403533923,-88.9229703007,Cape Girardeau,37.252811,64.9483888839656,64.9483888839656,,
13,s0014,91639,FOOD AND FUEL #2,Jackson,37.726604833,-89.1975780086,Cape Girardeau,37.252811,54.596406962364796,54.596406962364796,,
14,s0015,92067,AMERIMART #09,Scott,37.0959338756,-89.5629424387,Cape Girardeau,37.252811,15.681047675550401,15.681047675550401,,
15,s0016,93322,THE CUPBOARD,Jackson,37.9324026865,-89.5535066837,Cape Girardeau,37.252811,63.443862816776,63.443862816776,,
16,s0017,107042,Millie's,Wayne,36.9153122084,-90.2796471119,Cape Girardeau,37.252811,55.950996160924795,55.950996160924795,,
17,s0018,107783,ARAB STATION,Bollinger,37.0936862593,-90.0771891337,Cape Girardeau,37.252811,34.2829749133352,34.2829749133352,,
18,s0019,108228,ZX #160,Cape Girardeau,37.3711306127,-89.6481740575,Cape Girardeau,37.252811,13.7283265675712,13.7283265675712,,
19,s0020,128554,C MART,Stoddard,36.8834965069,-89.9240287492,Cape Girardeau,37.252811,40.100127738600804,40.100127738600804,,
20,s0021,129213,MINIT FOOD MART,Butler,36.8019643251,-90.456682086,Cape Girardeau,37.252811,69.577417853008,69.577417853008,,
21,s0022,129305,CIRCLE K #1332,Williamson,37.741589,-88.948255,Cape Girardeau,37.252811,63.6267323585816,63.6267323585816,,
22,s0023,129378,CIRCLE K #1351,Franklin,37.976096,-89.053286,Cape Girardeau,37.252811,87.79434350022959,87.79434350022959,,
23,s0024,135273,ROC ONE STOP,Williamson,37.8169493938,-88.9422846109,Cape Girardeau,37.252811,68.7483844086416,68.7483844086416,,
24,s0025,137105,RHODES 101 STOP #335,Perry,37.708335466,-89.8935216665,Cape Girardeau,37.252811,40.7984868212896,40.7984868212896,,
25,s0026,139455,WESTOWN SHELL,Jackson,37.729276922,-89.242699478,Cape Girardeau,37.252811,55.0014788424296,55.0014788424296,,
26,s0027,139459,DONGOLA BP,Union,37.3685193965,-89.1575312455,Cape Girardeau,37.252811,42.7682334999296,42.7682334999296,,
27,s0028,141544,HUCKS FOOD & FUEL #366,Williamson,37.7482743988,-89.0212362962,Cape Girardeau,37.252811,63.9684865141816,63.9684865141816,,
28,s0029,144863,MARION GAS MART,Williamson,37.7305080311,-88.9467520269,Cape Girardeau,37.252811,63.2438434300712,63.2438434300712,,
29,s0030,175905,AMERIMART #37,Madison,37.5688581735,-90.2843493753,Cape Girardeau,37.252811,54.7087508738784,54.7087508738784,,
30,s0031,176795,53 Pkg Grocery & Deli,Butler,36.7316515602,-90.3917021089,Cape Girardeau,37.252811,80.9148323480016,62.868473092984,,
31,s0032,177198,KORNER KWIK STOP,Wayne,36.9709269426,-90.5482363619,Cape Girardeau,37.252811,100.330631573068,100.330631573068,,
32,s0033,177554,AMERIMART NO 29,Stoddard,36.7995835505,-89.9700489296,Cape Girardeau,37.252811,54.476233773832,54.476233773832,,
33,s0034,185873,ZX #203,Union,37.4602229709,-89.2360779223,Cape Girardeau,37.252811,34.1929382276144,34.1929382276144,,
34,s0035,187854,BERGERS GAS MART,Butler,36.6866467238,-90.4842798941,Cape Girardeau,37.252811,88.461820434676,67.3321551878352,,
35,s0036,192508,ZX,Williamson,37.8177380961,-88.9325626041,Cape Girardeau,37.252811,69.3123409025008,69.3123409025008,,
36,s0037,192509,ZX #237,Williamson,37.7405477147,-88.9247012898,Cape Girardeau,37.252811,64.85698518162239,64.85698518162239,,
37,s0038,193045,KERRS EXPRESS,Butler,36.7906964468,-90.4333567202,Cape Girardeau,37.252811,80.69120085600079,68.034242497676,,
38,s0039,199172,PICK UP MART,Pulaski,37.2861625954,-89.0228733789,Cape Girardeau,37.252811,54.9955136789864,54.9955136789864,,
39,s0040,210074,PHILLIPS 66,Cape Girardeau,37.3395128532,-89.538524957,Cape Girardeau,37.252811,10.445001189043198,10.445001189043198,,
40,s0041,212985,CASEYS GENERAL STORE #3559 (DISCOUNT AVAILABLE),Jackson,37.7279775407,-89.2025132032,Cape Girardeau,37.252811,54.4252191989688,54.4252191989688,,
41,s0042,216455,CASEYS GENERAL STORE #1635 (DISCOUNT AVAILABLE),Perry,38.134992,-89.231056,Cape Girardeau,37.252811,82.8205777938656,82.8205777938656,,
42,s0043,216659,CASEYS GENERAL STORE #1883 (DISCOUNT AVAILABLE),New Madrid,36.454145,-89.920263,Cape Girardeau,37.252811,77.215623230668,39.2376645241048,,
43,s0044,218170,BJS QUICK SHOP,Scott,36.8690805271,-89.5798338659,Cape Girardeau,37.252811,31.1320637358224,31.1320637358224,,
44,s0045,220552,BJ'S KWIK SHOP,Stoddard,36.8006333889,-89.9492883019,Cape Girardeau,37.252811,53.3949236255136,53.3949236255136,,
45,s0046,220653,BREAK TIME #3127,Wayne,37.1875950312,-90.4671823154,Cape Girardeau,37.252811,67.1469244355,67.1469244355,,
46,s0047,221000,LEXMART,Stoddard,36.7931389983,-90.0930470065,Cape Girardeau,37.252811,61.229358025607205,61.229358025607205,,
47,s0048,221548,GAS AND GOODIES,Scott,36.8691563871,-89.6119791353,Cape Girardeau,37.252811,32.312109766549604,32.312109766549604,,
48,s0049,221566,CASEYS GENERAL STORE #1562 (DISCOUNT AVAILABLE),Stoddard,36.664889,-89.968516,Cape Girardeau,37.252811,63.057059249756,50.74893867862,,
49,s0050,221603,CASEYS GENERAL STORE #1625 (DISCOUNT AVAILABLE),Williamson,37.818868703,-89.0273607292,Cape Girardeau,37.252811,68.87116735618079,68.87116735618079,,
50,s0051,221611,CASEYS GENERAL STORE #1633 (DISCOUNT AVAILABLE),Franklin,37.8824913454,-89.1140013242,Cape Girardeau,37.252811,70.0038027649584,70.0038027649584,,
