,Iteration,Group,Flow,Flow_MMgal,Trips_Per_Truck,Gate_Queue_Wait,Driving_Time
0,0,Cape Girardeau,747000.0,0.747,2.128,0.086,4.929
1,0,Greenville,540000.0,0.54,2.5,0.011,4.583
2,0,Jonesboro,747000.0,0.747,2.184,0.027,5.35
3,0,Little Rock,2538000.0,2.538,2.611,0.001,4.727
4,0,Memphis,3330000.0,3.33,2.202,0.783,3.735
5,0,Owensboro,909000.0,0.909,2.886,0.039,4.438
6,0,Paducah,648000.0,0.648,1.674,0.793,3.706
7,0,Princeton,351000.0,0.351,1.258,2.881,1.75
8,0,Robinson,495000.0,0.495,2.2,0.01,5.688
9,0,St. Louis,3456000.0,3.456,1.722,1.929,1.798
10,0,Wood River,531000.0,0.531,2.95,0.0,5.224
11,1,Cape Girardeau,891000.0,0.891,2.538,0.086,5.314
12,1,Greenville,513000.0,0.513,2.375,0.011,4.912
13,1,Jonesboro,810000.0,0.81,2.368,0.017,5.616
14,1,Little Rock,2547000.0,2.547,2.62,0.001,4.707
15,1,Memphis,3348000.0,3.348,2.214,0.695,4.019
16,1,Owensboro,882000.0,0.882,2.8,0.065,4.217
17,1,Paducah,657000.0,0.657,1.698,0.59,4.367
18,1,Princeton,369000.0,0.369,1.323,2.596,2.011
19,1,Robinson,459000.0,0.459,2.04,0.004,5.44
20,1,St. Louis,3402000.0,3.402,1.703,1.894,1.925
21,1,Wood River,558000.0,0.558,3.1,0.0,4.687
22,2,Cape Girardeau,765000.0,0.765,2.179,0.082,5.119
23,2,Greenville,486000.0,0.486,2.25,0.017,4.776
24,2,Jonesboro,828000.0,0.828,2.421,0.024,5.832
25,2,Little Rock,2583000.0,2.583,2.657,0.0,4.56
26,2,Memphis,3330000.0,3.33,2.202,0.634,4.164
27,2,Owensboro,900000.0,0.9,2.857,0.036,4.19
28,2,Paducah,648000.0,0.648,1.674,0.736,3.833
29,2,Princeton,333000.0,0.333,1.156,2.947,1.841
30,2,Robinson,477000.0,0.477,2.12,0.004,5.193
31,2,St. Louis,3402000.0,3.402,1.703,1.942,1.86
32,2,Wood River,513000.0,0.513,2.85,0.0,5.137
33,3,Cape Girardeau,756000.0,0.756,2.154,0.081,4.948
34,3,Greenville,477000.0,0.477,2.208,0.004,5.293
35,3,Jonesboro,783000.0,0.783,2.289,0.025,5.17
36,3,Little Rock,2457000.0,2.457,2.528,0.0,4.569
