,Iteration,Group,Flow,Flow_MMgal,Trips_Per_Truck,Gate_Queue_Wait,Driving_Time
0,0,Cape Girardeau,792000.0,0.792,2.256,0.055,5.213
1,0,Evansville,819000.0,0.819,2.844,0.0,4.083
2,0,Greenville,747000.0,0.747,1.064,2.034,4.44
3,0,Jonesboro,837000.0,0.837,1.824,0.097,5.695
4,0,Memphis,3132000.0,3.132,1.766,0.985,3.963
5,0,Owensboro,711000.0,0.711,3.038,0.012,4.401
6,0,Paducah,675000.0,0.675,1.786,0.565,4.012
7,0,Princeton,243000.0,0.243,1.929,0.264,2.619
8,0,Robinson,486000.0,0.486,2.455,0.005,5.586
9,0,St. Louis,3420000.0,3.42,1.689,1.867,2.049
10,0,Wood River,549000.0,0.549,3.05,0.0,4.839
11,1,Cape Girardeau,792000.0,0.792,2.256,0.084,5.287
12,1,Evansville,819000.0,0.819,2.844,0.0,4.339
13,1,Greenville,729000.0,0.729,1.095,2.047,4.689
14,1,Jonesboro,828000.0,0.828,1.804,0.046,5.739
15,1,Memphis,3303000.0,3.303,1.863,0.889,4.207
16,1,Owensboro,792000.0,0.792,3.385,0.014,4.45
17,1,Paducah,684000.0,0.684,1.81,0.752,3.591
18,1,Princeton,315000.0,0.315,2.5,0.059,3.821
19,1,Robinson,477000.0,0.477,2.409,0.005,5.673
20,1,St. Louis,3321000.0,3.321,1.655,1.902,1.933
21,1,Wood River,567000.0,0.567,3.15,0.0,4.791
22,2,Cape Girardeau,810000.0,0.81,2.308,0.093,5.217
23,2,Evansville,864000.0,0.864,3.0,0.0,4.486
24,2,Greenville,756000.0,0.756,1.077,2.033,4.773
25,2,Jonesboro,774000.0,0.774,1.686,0.032,5.706
26,2,Memphis,3240000.0,3.24,1.827,1.027,3.992
27,2,Owensboro,720000.0,0.72,3.077,0.033,3.926
28,2,Paducah,720000.0,0.72,1.905,0.748,3.739
29,2,Princeton,315000.0,0.315,2.5,0.066,3.496
30,2,Robinson,423000.0,0.423,2.136,0.008,5.263
31,2,St. Louis,3393000.0,3.393,1.698,1.878,1.922
32,2,Wood River,558000.0,0.558,3.1,0.0,4.454
33,3,Cape Girardeau,747000.0,0.747,2.128,0.062,5.213
34,3,Evansville,819000.0,0.819,2.844,0.0,4.503
35,3,Greenville,684000.0,0.684,1.041,2.104,4.369
36,3,Jonesboro,891000.0,0.891,1.941,0.033,6.081
37,3,Memphis,3177000.0,3.177,1.801,0.888,3.997
38,3,Owensboro,738000.0,0.738,3.154,0.009,4.368
39,3,Paducah,702000.0,0.702,1.857,0.704,3.776
40,3,Princeton,324000.0,0.324,2.571,0.066,4.024
41,3,Robinson,441000.0,0.441,2.227,0.004,5.014
42,3,St. Louis,3420000.0,3.42,1.689,1.868,1.942
43,3,Wood River,603000.0,0.603,3.35,0.0,4.867
44,4,Cape Girardeau,765000.0,0.765,2.179,0.08,4.791
45,4,Evansville,801000.0,0.801,2.781,0.0,4.206
46,4,Greenville,693000.0,0.693,1.085,2.118,4.586
47,4,Jonesboro,864000.0,0.864,1.882,0.035,5.63
48,4,Memphis,3312000.0,3.312,1.868,0.843,4.314
49,4,Owensboro,765000.0,0.765,3.269,0.01,4.305
50,4,Paducah,657000.0,0.657,1.738,0.611,3.773
51,4,Princeton,315000.0,0.315,2.5,0.048,4.011
52,4,Robinson,468000.0,0.468,2.364,0.005,5.422
