,Iteration,Group,Flow,Flow_MMgal,Trips_Per_Truck,Gate_Queue_Wait,Driving_Time
0,0,Cape Girardeau,774000.0,0.774,2.205,0.081,5.275
1,0,Evansville,864000.0,0.864,3.0,0.0,4.156
2,0,Greenville,729000.0,0.729,1.588,0.114,5.465
3,0,Jonesboro,945000.0,0.945,1.01,4.089,3.839
4,0,Little Rock,2511000.0,2.511,2.536,0.0,4.748
5,0,Owensboro,729000.0,0.729,3.115,0.012,4.387
6,0,Paducah,639000.0,0.639,1.651,0.771,3.641
7,0,Princeton,324000.0,0.324,2.571,0.068,3.628
8,0,Robinson,450000.0,0.45,2.273,0.008,5.491
9,0,St. Louis,3330000.0,3.33,1.659,1.92,1.857
10,0,Wood River,531000.0,0.531,2.95,0.0,4.41
11,1,Cape Girardeau,756000.0,0.756,2.154,0.109,4.901
12,1,Evansville,810000.0,0.81,2.813,0.0,3.987
13,1,Greenville,657000.0,0.657,1.431,0.082,6.103
14,1,Jonesboro,936000.0,0.936,1.01,4.167,3.761
15,1,Little Rock,2547000.0,2.547,2.573,0.0,4.616
16,1,Owensboro,684000.0,0.684,2.923,0.013,4.319
17,1,Paducah,648000.0,0.648,1.674,0.76,3.485
18,1,Princeton,342000.0,0.342,2.714,0.033,3.97
19,1,Robinson,513000.0,0.513,2.591,0.002,5.689
20,1,St. Louis,3330000.0,3.33,1.667,1.88,1.869
21,1,Wood River,531000.0,0.531,2.95,0.0,4.32
22,2,Cape Girardeau,792000.0,0.792,2.256,0.099,5.048
23,2,Evansville,783000.0,0.783,2.719,0.0,4.175
24,2,Greenville,756000.0,0.756,1.647,0.147,5.522
25,2,Jonesboro,927000.0,0.927,1.01,4.279,3.919
26,2,Little Rock,2502000.0,2.502,2.527,0.0,4.674
27,2,Owensboro,765000.0,0.765,3.269,0.011,4.698
28,2,Paducah,666000.0,0.666,1.721,0.765,3.777
29,2,Princeton,315000.0,0.315,2.5,0.083,3.845
30,2,Robinson,414000.0,0.414,2.091,0.002,4.913
31,2,St. Louis,3438000.0,3.438,1.705,1.94,1.888
32,2,Wood River,549000.0,0.549,3.05,0.0,4.885
33,3,Cape Girardeau,774000.0,0.774,2.205,0.094,5.05
34,3,Evansville,792000.0,0.792,2.75,0.0,3.962
35,3,Greenville,720000.0,0.72,1.569,0.093,5.667
36,3,Jonesboro,963000.0,0.963,1.009,4.123,3.8
37,3,Little Rock,2547000.0,2.547,2.573,0.001,4.682
38,3,Owensboro,801000.0,0.801,3.423,0.016,4.761
39,3,Paducah,630000.0,0.63,1.628,0.719,3.812
40,3,Princeton,324000.0,0.324,2.571,0.135,3.661
41,3,Robinson,486000.0,0.486,2.455,0.007,5.811
42,3,St. Louis,3330000.0,3.33,1.667,1.886,1.859
43,3,Wood River,558000.0,0.558,3.1,0.0,4.768
44,4,Cape Girardeau,846000.0,0.846,2.41,0.13,4.994
