,Iteration,Group,Flow,Flow_MMgal,Trips_Per_Truck,Gate_Queue_Wait,Driving_Time
0,0,Cape Girardeau,1026000.0,1.026,2.923,0.093,7.523
1,0,Evansville,1170000.0,1.17,4.063,0.0,6.189
2,0,Greenville,972000.0,0.972,2.118,0.176,8.285
3,0,Jonesboro,1314000.0,1.314,1.014,5.521,4.046
4,0,Little Rock,3618000.0,3.618,3.655,0.001,6.786
5,0,Owensboro,999000.0,0.999,4.269,0.009,6.473
6,0,Paducah,882000.0,0.882,2.279,0.894,5.256
7,0,Princeton,441000.0,0.441,3.5,0.076,5.112
8,0,Robinson,666000.0,0.666,3.364,0.011,7.543
9,0,St. Louis,4554000.0,4.554,2.239,2.237,2.57
10,0,Wood River,819000.0,0.819,4.55,0.0,6.353
11,1,Cape Girardeau,1053000.0,1.053,3.0,0.13,7.275
12,1,Evansville,1107000.0,1.107,3.844,0.0,5.672
13,1,Greenville,999000.0,0.999,2.176,0.15,7.908
14,1,Jonesboro,1341000.0,1.341,1.042,5.516,3.888
15,1,Little Rock,3564000.0,3.564,3.6,0.0,6.684
16,1,Owensboro,1044000.0,1.044,4.462,0.008,6.572
17,1,Paducah,882000.0,0.882,2.279,0.838,5.307
18,1,Princeton,477000.0,0.477,3.786,0.058,5.882
19,1,Robinson,675000.0,0.675,3.409,0.008,7.778
20,1,St. Louis,4581000.0,4.581,2.252,2.208,2.558
21,1,Wood River,783000.0,0.783,4.35,0.0,7.118
22,2,Cape Girardeau,1062000.0,1.062,3.026,0.07,7.238
23,2,Evansville,1080000.0,1.08,3.75,0.0,6.261
24,2,Greenville,945000.0,0.945,2.059,0.155,8.08
25,2,Jonesboro,1314000.0,1.314,1.028,5.491,4.044
26,2,Little Rock,3627000.0,3.627,3.664,0.001,6.411
27,2,Owensboro,1044000.0,1.044,4.462,0.015,6.547
28,2,Paducah,882000.0,0.882,2.279,0.938,5.065
29,2,Princeton,450000.0,0.45,3.571,0.092,5.028
30,2,Robinson,657000.0,0.657,3.318,0.004,7.712
31,2,St. Louis,4608000.0,4.608,2.265,2.213,2.644
32,2,Wood River,756000.0,0.756,4.2,0.0,6.725
33,3,Cape Girardeau,1125000.0,1.125,3.205,0.117,7.386
34,3,Evansville,1089000.0,1.089,3.781,0.0,6.174
35,3,Greenville,1008000.0,1.008,2.196,0.197,7.878
36,3,Jonesboro,1332000.0,1.332,1.05,5.503,3.841
37,3,Little Rock,3600000.0,3.6,3.636,0.001,6.638
38,3,Owensboro,1008000.0,1.008,4.308,0.012,6.635
39,3,Paducah,927000.0,0.927,2.395,0.85,5.364
40,3,Princeton,468000.0,0.468,3.714,0.065,5.684
41,3,Robinson,630000.0,0.63,3.182,0.002,7.405
42,3,St. Louis,4527000.0,4.527,2.226,2.228,2.596
43,3,Wood River,729000.0,0.729,4.05,0.0,7.082
44,4,Cape Girardeau,1116000.0,1.116,3.179,0.092,7.338
45,4,Evansville,1134000.0,1.134,3.938,0.0,6.102
46,4,Greenville,972000.0,0.972,2.118,0.145,8.51
47,4,Jonesboro,1296000.0,1.296,1.036,5.334,3.915
48,4,Little Rock,3528000.0,3.528,3.564,0.002,6.426
49,4,Owensboro,1044000.0,1.044,4.462,0.018,6.201
50,4,Paducah,900000.0,0.9,2.326,0.898,5.105
51,4,Princeton,468000.0,0.468,3.714,0.059,5.809
52,4,Robinson,630000.0,0.63,3.182,0.009,7.629
53,4,St. Louis,4608000.0,4.608,2.265,2.246,2.568
54,4,Wood River,738000.0,0.738,4.1,0.0,6.431
55,5,Cape Girardeau,1053000.0,1.053,3.0,0.084,6.869
