,Iteration,Group,Flow,Flow_MMgal,Trips_Per_Truck,Gate_Queue_Wait,Driving_Time
0,0,Cape Girardeau,927000.0,0.927,2.641,0.025,6.312
1,0,Evansville,981000.0,0.981,3.406,0.0,4.792
2,0,Greenville,792000.0,0.792,1.725,0.015,6.926
3,0,Jonesboro,1638000.0,1.638,1.077,2.746,3.921
4,0,Little Rock,3132000.0,3.132,3.164,0.0,5.841
5,0,Owensboro,900000.0,0.9,3.846,0.02,4.874
6,0,Paducah,1071000.0,1.071,2.767,0.049,5.972
7,0,Princeton,423000.0,0.423,3.357,0.048,5.069
8,0,Robinson,549000.0,0.549,2.773,0.008,6.197
9,0,St. Louis,5409000.0,5.409,2.659,0.962,3.021
10,0,Wood River,684000.0,0.684,3.8,0.0,5.475
11,1,Cape Girardeau,972000.0,0.972,2.769,0.025,6.376
12,1,Evansville,945000.0,0.945,3.281,0.0,5.554
13,1,Greenville,837000.0,0.837,1.824,0.03,6.794
14,1,Jonesboro,1611000.0,1.611,1.065,2.926,4.075
15,1,Little Rock,2979000.0,2.979,3.009,0.0,5.66
16,1,Owensboro,801000.0,0.801,3.423,0.013,5.041
17,1,Paducah,1026000.0,1.026,2.651,0.038,6.232
18,1,Princeton,423000.0,0.423,3.357,0.044,5.114
19,1,Robinson,531000.0,0.531,2.682,0.012,6.284
20,1,St. Louis,5571000.0,5.571,2.739,0.905,3.13
21,1,Wood River,648000.0,0.648,3.6,0.0,4.937
22,2,Cape Girardeau,909000.0,0.909,2.59,0.04,5.695
23,2,Evansville,990000.0,0.99,3.438,0.0,5.388
24,2,Greenville,855000.0,0.855,1.863,0.032,6.678
25,2,Jonesboro,1602000.0,1.602,1.079,2.939,4.027
26,2,Little Rock,3123000.0,3.123,3.155,0.0,5.458
27,2,Owensboro,855000.0,0.855,3.654,0.016,4.995
28,2,Paducah,1017000.0,1.017,2.628,0.039,5.969
29,2,Princeton,423000.0,0.423,3.357,0.057,5.434
30,2,Robinson,549000.0,0.549,2.773,0.007,6.562
31,2,St. Louis,5436000.0,5.436,2.673,0.987,3.012
32,2,Wood River,621000.0,0.621,3.45,0.0,5.51
33,3,Cape Girardeau,999000.0,0.999,2.846,0.028,6.574
34,3,Evansville,1026000.0,1.026,3.563,0.0,5.4
35,3,Greenville,864000.0,0.864,1.882,0.028,7.246
36,3,Jonesboro,1575000.0,1.575,1.061,2.747,4.124
37,3,Little Rock,3249000.0,3.249,3.282,0.0,5.743
38,3,Owensboro,855000.0,0.855,3.654,0.016,5.427
39,3,Paducah,1080000.0,1.08,2.791,0.024,5.955
40,3,Princeton,405000.0,0.405,3.214,0.074,4.952
41,3,Robinson,513000.0,0.513,2.591,0.008,6.056
42,3,St. Louis,5436000.0,5.436,2.673,0.985,2.963
43,3,Wood River,603000.0,0.603,3.35,0.0,5.248
44,4,Cape Girardeau,918000.0,0.918,2.615,0.029,6.18
45,4,Evansville,972000.0,0.972,3.375,0.0,5.012
46,4,Greenville,918000.0,0.918,2.0,0.02,6.776
47,4,Jonesboro,1584000.0,1.584,1.054,2.83,4.101
48,4,Little Rock,3105000.0,3.105,3.136,0.001,5.781
49,4,Owensboro,882000.0,0.882,3.769,0.022,5.2
50,4,Paducah,1035000.0,1.035,2.674,0.05,6.035
51,4,Princeton,513000.0,0.513,4.071,0.027,5.298
52,4,Robinson,522000.0,0.522,2.636,0.005,6.395
53,4,St. Louis,5310000.0,5.31,2.611,1.002,2.955
54,4,Wood River,648000.0,0.648,3.6,0.0,5.292
55,5,Cape Girardeau,1008000.0,1.008,2.872,0.022,6.141
56,5,Evansville,972000.0,0.972,3.375,0.0,5.389
57,5,Greenville,909000.0,0.909,1.98,0.042,6.144
58,5,Jonesboro,1602000.0,1.602,1.072,3.064,4.061
59,5,Little Rock,3249000.0,3.249,3.282,0.0,5.818
60,5,Owensboro,837000.0,0.837,3.577,0.025,5.094
61,5,Paducah,1062000.0,1.062,2.744,0.034,6.355
62,5,Princeton,459000.0,0.459,3.643,0.055,5.352
63,5,Robinson,486000.0,0.486,2.455,0.007,6.007
64,5,St. Louis,5508000.0,5.508,2.708,0.965,3.134
65,5,Wood River,666000.0,0.666,3.7,0.0,5.316
66,6,Cape Girardeau,918000.0,0.918,2.615,0.049,6.098
67,6,Evansville,990000.0,0.99,3.438,0.0,5.234
68,6,Greenville,819000.0,0.819,1.784,0.023,6.754
69,6,Jonesboro,1620000.0,1.62,1.084,2.903,4.149
70,6,Little Rock,3105000.0,3.105,3.136,0.0,5.859
71,6,Owensboro,837000.0,0.837,3.577,0.011,4.846
72,6,Paducah,1035000.0,1.035,2.674,0.031,5.79
73,6,Princeton,432000.0,0.432,3.429,0.066,5.279
74,6,Robinson,540000.0,0.54,2.727,0.002,6.267
75,6,St. Louis,5391000.0,5.391,2.65,1.007,2.882
76,6,Wood River,612000.0,0.612,3.4,0.0,5.23
77,7,Cape Girardeau,936000.0,0.936,2.667,0.028,6.401
78,7,Evansville,1017000.0,1.017,3.531,0.0,5.413
79,7,Greenville,828000.0,0.828,1.804,0.046,6.405
80,7,Jonesboro,1584000.0,1.584,1.06,2.731,4.121
81,7,Little Rock,3024000.0,3.024,3.055,0.0,5.824
82,7,Owensboro,846000.0,0.846,3.615,0.024,4.72
83,7,Paducah,1035000.0,1.035,2.674,0.045,6.116
84,7,Princeton,468000.0,0.468,3.714,0.051,5.527
85,7,Robinson,558000.0,0.558,2.818,0.007,6.934
86,7,St. Louis,5346000.0,5.346,2.628,0.959,3.006
87,7,Wood River,621000.0,0.621,3.45,0.0,5.575
88,8,Cape Girardeau,945000.0,0.945,2.692,0.026,6.194
89,8,Evansville,990000.0,0.99,3.438,0.0,5.284
90,8,Greenville,855000.0,0.855,1.863,0.053,6.482
91,8,Jonesboro,1647000.0,1.647,1.076,2.816,3.963
92,8,Little Rock,3114000.0,3.114,3.145,0.0,5.891
93,8,Owensboro,873000.0,0.873,3.731,0.019,5.154
94,8,Paducah,1026000.0,1.026,2.651,0.052,6.054
95,8,Princeton,414000.0,0.414,3.286,0.038,5.051
96,8,Robinson,540000.0,0.54,2.727,0.011,6.419
97,8,St. Louis,5409000.0,5.409,2.659,0.951,3.092
98,8,Wood River,612000.0,0.612,3.4,0.0,5.404
99,9,Cape Girardeau,936000.0,0.936,2.667,0.032,5.997
100,9,Evansville,1008000.0,1.008,3.5,0.0,5.59
101,9,Greenville,837000.0,0.837,1.824,0.02,6.86
102,9,Jonesboro,1602000.0,1.602,1.079,2.856,4.0
103,9,Little Rock,3195000.0,3.195,3.227,0.0,5.874
104,9,Owensboro,846000.0,0.846,3.615,0.028,5.309
105,9,Paducah,1053000.0,1.053,2.721,0.028,5.895
106,9,Princeton,387000.0,0.387,3.071,0.046,4.652
107,9,Robinson,576000.0,0.576,2.909,0.008,6.418
108,9,St. Louis,5382000.0,5.382,2.646,0.963,3.02
109,9,Wood River,630000.0,0.63,3.5,0.0,5.386
110,10,Cape Girardeau,972000.0,0.972,2.769,0.027,6.283
111,10,Evansville,981000.0,0.981,3.406,0.0,5.33
112,10,Greenville,882000.0,0.882,1.922,0.036,6.624
113,10,Jonesboro,1566000.0,1.566,1.067,2.949,4.109
