,Iteration,Group,Flow,Flow_MMgal,Trips_Per_Truck,Gate_Queue_Wait,Driving_Time
0,0,Cape Girardeau,828000.0,0.828,2.244,0.103,5.01
1,0,Evansville,783000.0,0.783,2.636,0.0,4.275
2,0,Greenville,738000.0,0.738,1.547,0.212,5.079
3,0,Jonesboro,945000.0,0.945,1.0,4.284,3.808
4,0,Little Rock,2718000.0,2.718,2.626,0.0,4.715
5,0,Owensboro,747000.0,0.747,3.074,0.032,4.146
6,0,Paducah,612000.0,0.612,1.511,0.861,3.755
7,0,Princeton,333000.0,0.333,2.643,0.071,4.09
8,0,Robinson,468000.0,0.468,2.261,0.006,5.426
9,0,St. Louis,3420000.0,3.42,1.631,2.023,1.91
10,0,Wood River,621000.0,0.621,3.286,0.0,4.395
11,1,Cape Girardeau,801000.0,0.801,2.171,0.131,4.575
12,1,Evansville,819000.0,0.819,2.758,0.0,4.006
13,1,Greenville,702000.0,0.702,1.472,0.228,5.794
14,1,Jonesboro,945000.0,0.945,1.019,4.313,3.817
15,1,Little Rock,2502000.0,2.502,2.417,0.0,4.747
16,1,Owensboro,747000.0,0.747,3.074,0.021,4.013
17,1,Paducah,693000.0,0.693,1.711,0.905,3.861
18,1,Princeton,315000.0,0.315,2.5,0.087,4.096
19,1,Robinson,495000.0,0.495,2.391,0.001,5.396
20,1,St. Louis,3402000.0,3.402,1.643,2.032,1.829
21,1,Wood River,612000.0,0.612,3.238,0.0,4.913
22,2,Cape Girardeau,846000.0,0.846,2.293,0.07,5.178
23,2,Evansville,864000.0,0.864,2.909,0.0,4.412
24,2,Greenville,693000.0,0.693,1.453,0.235,5.286
25,2,Jonesboro,936000.0,0.936,1.01,4.289,3.754
26,2,Little Rock,2799000.0,2.799,2.704,0.001,4.573
27,2,Owensboro,720000.0,0.72,2.963,0.014,4.577
28,2,Paducah,684000.0,0.684,1.689,0.763,3.993
29,2,Princeton,270000.0,0.27,2.143,0.115,2.949
30,2,Robinson,504000.0,0.504,2.435,0.006,5.879
31,2,St. Louis,3420000.0,3.42,1.652,2.12,1.732
32,2,Wood River,612000.0,0.612,3.238,0.0,5.008
33,3,Cape Girardeau,810000.0,0.81,2.195,0.095,5.183
34,3,Evansville,810000.0,0.81,2.727,0.0,4.196
35,3,Greenville,693000.0,0.693,1.453,0.256,5.104
36,3,Jonesboro,936000.0,0.936,1.0,4.378,3.799
37,3,Little Rock,2592000.0,2.592,2.504,0.002,4.455
38,3,Owensboro,756000.0,0.756,3.111,0.014,4.551
39,3,Paducah,675000.0,0.675,1.667,0.734,4.037
40,3,Princeton,324000.0,0.324,2.571,0.093,3.882
41,3,Robinson,522000.0,0.522,2.522,0.007,5.655
42,3,St. Louis,3375000.0,3.375,1.623,2.061,1.857
43,3,Wood River,630000.0,0.63,3.333,0.0,4.283
44,4,Cape Girardeau,819000.0,0.819,2.22,0.092,4.914
45,4,Evansville,846000.0,0.846,2.848,0.0,4.33
46,4,Greenville,729000.0,0.729,1.528,0.217,5.63
47,4,Jonesboro,972000.0,0.972,1.009,4.23,3.872
48,4,Little Rock,2835000.0,2.835,2.739,0.002,4.609
49,4,Owensboro,756000.0,0.756,3.111,0.025,4.317
50,4,Paducah,675000.0,0.675,1.667,0.665,4.172
51,4,Princeton,288000.0,0.288,2.286,0.126,3.357
52,4,Robinson,477000.0,0.477,2.304,0.008,4.999
