,Iteration,Group,Flow,Flow_MMgal,Trips_Per_Truck,Gate_Queue_Wait,Driving_Time
0,0,Cape Girardeau,819000.0,0.819,2.333,0.031,5.237
1,0,Evansville,729000.0,0.729,2.531,0.0,3.89
2,0,Greenville,702000.0,0.702,1.529,0.118,5.475
3,0,Jonesboro,927000.0,0.927,1.02,4.216,3.817
4,0,Little Rock,2466000.0,2.466,2.491,0.0,4.669
5,0,Owensboro,720000.0,0.72,3.077,0.001,4.411
6,0,Paducah,693000.0,0.693,1.791,0.696,3.811
7,0,Princeton,315000.0,0.315,2.5,0.02,4.464
8,0,Robinson,477000.0,0.477,2.409,0.007,5.548
9,0,St. Louis,3375000.0,3.375,1.697,1.839,1.935
10,0,Wood River,567000.0,0.567,3.15,0.0,4.737
11,1,Cape Girardeau,801000.0,0.801,2.282,0.039,5.011
12,1,Evansville,810000.0,0.81,2.813,0.0,4.083
13,1,Greenville,684000.0,0.684,1.49,0.176,5.354
14,1,Jonesboro,963000.0,0.963,1.009,4.232,3.607
15,1,Little Rock,2610000.0,2.61,2.636,0.0,4.724
16,1,Owensboro,729000.0,0.729,3.115,0.004,4.437
17,1,Paducah,711000.0,0.711,1.837,0.641,3.881
18,1,Princeton,342000.0,0.342,2.714,0.078,3.721
19,1,Robinson,450000.0,0.45,2.273,0.007,5.114
20,1,St. Louis,3330000.0,3.33,1.667,1.948,1.848
21,1,Wood River,603000.0,0.603,3.35,0.0,4.852
22,2,Cape Girardeau,783000.0,0.783,2.231,0.028,5.049
23,2,Evansville,747000.0,0.747,2.594,0.0,3.858
24,2,Greenville,702000.0,0.702,1.529,0.223,5.159
25,2,Jonesboro,972000.0,0.972,1.0,4.101,3.64
26,2,Little Rock,2592000.0,2.592,2.618,0.0,4.662
27,2,Owensboro,684000.0,0.684,2.923,0.001,4.554
28,2,Paducah,621000.0,0.621,1.605,0.748,3.53
29,2,Princeton,315000.0,0.315,2.5,0.049,3.834
30,2,Robinson,477000.0,0.477,2.409,0.001,5.544
31,2,St. Louis,3384000.0,3.384,1.701,1.883,1.894
32,2,Wood River,495000.0,0.495,2.75,0.0,5.204
33,3,Cape Girardeau,828000.0,0.828,2.359,0.021,5.017
