,Iteration,Group,Flow,Flow_MMgal,Trips_Per_Truck,Gate_Queue_Wait,Driving_Time
0,0,Cape Girardeau,918000.0,0.918,2.615,0.176,4.241
1,0,Evansville,954000.0,0.954,3.313,0.0,3.348
2,0,Greenville,747000.0,0.747,1.627,0.561,4.173
3,0,Jonesboro,1026000.0,1.026,1.036,4.154,2.67
4,0,Little Rock,3096000.0,3.096,3.127,0.002,3.929
5,0,Owensboro,846000.0,0.846,3.615,0.019,3.506
6,0,Paducah,720000.0,0.72,1.86,1.082,2.87
7,0,Princeton,342000.0,0.342,2.714,0.252,2.519
8,0,Robinson,522000.0,0.522,2.636,0.015,4.098
9,0,St. Louis,3348000.0,3.348,1.699,2.167,1.286
10,0,Wood River,657000.0,0.657,3.65,0.0,3.949
11,1,Cape Girardeau,927000.0,0.927,2.641,0.159,4.164
12,1,Evansville,918000.0,0.918,3.188,0.0,3.235
13,1,Greenville,819000.0,0.819,1.784,0.442,4.533
14,1,Jonesboro,1017000.0,1.017,1.009,4.04,2.622
15,1,Little Rock,3033000.0,3.033,3.064,0.003,3.864
16,1,Owensboro,810000.0,0.81,3.462,0.013,3.465
17,1,Paducah,684000.0,0.684,1.767,1.062,3.032
18,1,Princeton,333000.0,0.333,2.643,0.308,2.484
19,1,Robinson,513000.0,0.513,2.591,0.007,4.185
20,1,St. Louis,3438000.0,3.438,1.721,2.157,1.387
21,1,Wood River,630000.0,0.63,3.5,0.0,3.581
22,2,Cape Girardeau,927000.0,0.927,2.641,0.144,4.104
23,2,Evansville,981000.0,0.981,3.406,0.0,3.511
24,2,Greenville,774000.0,0.774,1.686,0.304,4.84
25,2,Jonesboro,999000.0,0.999,1.009,4.032,2.709
26,2,Little Rock,3051000.0,3.051,3.082,0.002,3.759
27,2,Owensboro,855000.0,0.855,3.654,0.022,3.405
28,2,Paducah,675000.0,0.675,1.744,1.183,2.728
29,2,Princeton,351000.0,0.351,2.786,0.275,2.695
30,2,Robinson,558000.0,0.558,2.818,0.017,4.61
31,2,St. Louis,3456000.0,3.456,1.738,2.016,1.4
32,2,Wood River,648000.0,0.648,3.6,0.0,3.728
33,3,Cape Girardeau,945000.0,0.945,2.692,0.182,4.102
34,3,Evansville,972000.0,0.972,3.375,0.0,3.661
35,3,Greenville,828000.0,0.828,1.804,0.494,4.541
36,3,Jonesboro,1008000.0,1.008,1.0,4.416,2.639
37,3,Little Rock,3114000.0,3.114,3.145,0.008,3.83
38,3,Owensboro,819000.0,0.819,3.5,0.036,3.252
39,3,Paducah,639000.0,0.639,1.651,1.142,2.674
40,3,Princeton,342000.0,0.342,2.714,0.187,2.862
41,3,Robinson,540000.0,0.54,2.727,0.024,4.476
42,3,St. Louis,3447000.0,3.447,1.749,2.096,1.313
43,3,Wood River,720000.0,0.72,4.0,0.0,3.773
44,4,Cape Girardeau,927000.0,0.927,2.641,0.149,4.249
45,4,Evansville,918000.0,0.918,3.188,0.0,3.281
46,4,Greenville,801000.0,0.801,1.745,0.48,4.627
47,4,Jonesboro,999000.0,0.999,1.018,4.238,2.575
48,4,Little Rock,3015000.0,3.015,3.045,0.006,3.614
49,4,Owensboro,756000.0,0.756,3.231,0.018,3.228
50,4,Paducah,657000.0,0.657,1.698,1.128,2.669
51,4,Princeton,324000.0,0.324,2.571,0.216,2.721
52,4,Robinson,549000.0,0.549,2.773,0.025,4.308
53,4,St. Louis,3519000.0,3.519,1.777,2.085,1.4
54,4,Wood River,648000.0,0.648,3.6,0.0,3.868
55,5,Cape Girardeau,990000.0,0.99,2.821,0.156,4.521
56,5,Evansville,927000.0,0.927,3.219,0.0,3.253
57,5,Greenville,765000.0,0.765,1.667,0.519,4.463
58,5,Jonesboro,990000.0,0.99,1.0,3.96,2.611
59,5,Little Rock,3096000.0,3.096,3.127,0.003,3.668
60,5,Owensboro,828000.0,0.828,3.538,0.012,3.571
61,5,Paducah,675000.0,0.675,1.744,1.186,2.51
62,5,Princeton,342000.0,0.342,2.714,0.293,2.653
63,5,Robinson,513000.0,0.513,2.591,0.012,4.337
64,5,St. Louis,3429000.0,3.429,1.716,2.076,1.345
65,5,Wood River,684000.0,0.684,3.8,0.0,3.803
66,6,Cape Girardeau,900000.0,0.9,2.564,0.16,4.216
67,6,Evansville,891000.0,0.891,3.094,0.0,3.137
68,6,Greenville,810000.0,0.81,1.765,0.412,4.66
69,6,Jonesboro,1008000.0,1.008,1.009,4.213,2.701
70,6,Little Rock,3006000.0,3.006,3.036,0.001,3.756
71,6,Owensboro,846000.0,0.846,3.615,0.019,3.387
72,6,Paducah,675000.0,0.675,1.744,1.059,2.985
73,6,Princeton,342000.0,0.342,2.714,0.252,2.692
74,6,Robinson,567000.0,0.567,2.864,0.009,4.653
75,6,St. Louis,3492000.0,3.492,1.764,2.021,1.414
76,6,Wood River,639000.0,0.639,3.55,0.0,3.575
77,7,Cape Girardeau,954000.0,0.954,2.718,0.186,4.227
78,7,Evansville,900000.0,0.9,3.125,0.0,3.396
79,7,Greenville,846000.0,0.846,1.843,0.567,4.544
80,7,Jonesboro,1035000.0,1.035,1.027,4.243,2.49
81,7,Little Rock,2979000.0,2.979,3.009,0.005,3.76
82,7,Owensboro,801000.0,0.801,3.423,0.036,3.316
83,7,Paducah,720000.0,0.72,1.86,1.059,3.002
84,7,Princeton,369000.0,0.369,2.929,0.2,2.943
85,7,Robinson,522000.0,0.522,2.636,0.016,4.479
86,7,St. Louis,3402000.0,3.402,1.71,2.03,1.327
87,7,Wood River,711000.0,0.711,3.95,0.0,3.865
88,8,Cape Girardeau,999000.0,0.999,2.846,0.141,4.481
89,8,Evansville,963000.0,0.963,3.344,0.0,3.314
90,8,Greenville,810000.0,0.81,1.765,0.403,4.545
91,8,Jonesboro,1044000.0,1.044,1.018,3.926,2.682
92,8,Little Rock,3123000.0,3.123,3.155,0.001,3.739
93,8,Owensboro,882000.0,0.882,3.769,0.016,3.271
94,8,Paducah,702000.0,0.702,1.814,1.226,2.778
95,8,Princeton,324000.0,0.324,2.571,0.255,2.528
96,8,Robinson,531000.0,0.531,2.682,0.01,4.399
97,8,St. Louis,3474000.0,3.474,1.731,2.034,1.365
98,8,Wood River,666000.0,0.666,3.7,0.0,3.933
99,9,Cape Girardeau,900000.0,0.9,2.564,0.156,4.122
100,9,Evansville,945000.0,0.945,3.281,0.0,3.587
101,9,Greenville,783000.0,0.783,1.706,0.534,4.292
102,9,Jonesboro,1026000.0,1.026,1.027,4.262,2.707
103,9,Little Rock,3015000.0,3.015,3.045,0.002,3.831
104,9,Owensboro,765000.0,0.765,3.269,0.024,3.161
105,9,Paducah,702000.0,0.702,1.814,1.076,2.685
106,9,Princeton,351000.0,0.351,2.786,0.233,2.802
107,9,Robinson,513000.0,0.513,2.591,0.02,4.285
108,9,St. Louis,3483000.0,3.483,1.735,2.093,1.437
109,9,Wood River,657000.0,0.657,3.65,0.0,4.117
110,10,Cape Girardeau,954000.0,0.954,2.718,0.166,4.276
111,10,Evansville,927000.0,0.927,3.219,0.0,3.038
112,10,Greenville,792000.0,0.792,1.725,0.52,4.505
113,10,Jonesboro,1044000.0,1.044,1.018,4.439,2.643
114,10,Little Rock,2988000.0,2.988,3.018,0.002,3.921
115,10,Owensboro,837000.0,0.837,3.577,0.018,3.546
116,10,Paducah,693000.0,0.693,1.791,1.104,2.913
117,10,Princeton,342000.0,0.342,2.714,0.344,2.513
118,10,Robinson,549000.0,0.549,2.773,0.012,4.187
119,10,St. Louis,3438000.0,3.438,1.736,2.084,1.317
120,10,Wood River,675000.0,0.675,3.75,0.0,3.79
121,11,Cape Girardeau,936000.0,0.936,2.667,0.143,4.108
122,11,Evansville,891000.0,0.891,3.094,0.0,3.334
123,11,Greenville,810000.0,0.81,1.765,0.642,4.262
124,11,Jonesboro,1017000.0,1.017,1.009,4.177,2.809
125,11,Little Rock,3015000.0,3.015,3.045,0.001,3.829
126,11,Owensboro,819000.0,0.819,3.5,0.02,3.633
127,11,Paducah,666000.0,0.666,1.721,1.203,2.343
128,11,Princeton,333000.0,0.333,2.643,0.283,2.733
129,11,Robinson,549000.0,0.549,2.773,0.019,4.385
130,11,St. Louis,3447000.0,3.447,1.741,2.049,1.316
131,11,Wood River,693000.0,0.693,3.85,0.0,4.355
132,12,Cape Girardeau,927000.0,0.927,2.641,0.188,4.253
133,12,Evansville,900000.0,0.9,3.125,0.0,3.113
134,12,Greenville,792000.0,0.792,1.725,0.374,4.766
135,12,Jonesboro,954000.0,0.954,1.0,4.122,2.73
136,12,Little Rock,3042000.0,3.042,3.073,0.001,3.766
137,12,Owensboro,855000.0,0.855,3.654,0.025,3.726
138,12,Paducah,711000.0,0.711,1.837,1.08,2.985
139,12,Princeton,315000.0,0.315,2.5,0.328,2.498
140,12,Robinson,567000.0,0.567,2.864,0.017,4.455
141,12,St. Louis,3420000.0,3.42,1.712,2.092,1.283
142,12,Wood River,693000.0,0.693,3.85,0.0,4.332
143,13,Cape Girardeau,990000.0,0.99,2.821,0.159,4.103
144,13,Evansville,909000.0,0.909,3.156,0.0,3.154
145,13,Greenville,774000.0,0.774,1.686,0.509,4.523
146,13,Jonesboro,1026000.0,1.026,1.018,4.241,2.685
147,13,Little Rock,3015000.0,3.015,3.045,0.002,3.859
