Column1,Stations,fuellocation_id,"County, State",station_lat,station_long,group_name,group_lat,group_long,station_group_dist
0,s0001,4165,"Mississippi, MO",36.919854,-89.324012,Cape Girardeau,37.252811,-89.521555,41.38773312
1,s0002,7733,"Dunklin, MO",36.5640002,-89.97100299,Cape Girardeau,37.252811,-89.521555,70.04406762
2,s0003,17641,"Butler, MO",36.76976625,-90.41709764,Cape Girardeau,37.252811,-89.521555,80.64646213
3,s0004,18147,"New Madrid, MO",36.42412119,-89.69070019,Cape Girardeau,37.252811,-89.521555,62.24784755
4,s0005,19039,"Madison, MO",37.55932473,-90.28846468,Cape Girardeau,37.252811,-89.521555,55.26500236
5,s0006,19167,"Butler, MO",36.75834814,-90.38406685,Cape Girardeau,37.252811,-89.521555,78.28239329
6,s0007,21380,"New Madrid, MO",36.67099304,-89.53555942,Cape Girardeau,37.252811,-89.521555,42.7513322
7,s0008,21405,"Stoddard, MO",36.79302967,-89.9488135,Cape Girardeau,37.252811,-89.521555,53.97199105
8,s0009,21406,"Cape Girardeau, MO",37.4381347,-89.63693508,Cape Girardeau,37.252811,-89.521555,17.40808677
9,s0010,25261,"Jefferson, IL",38.1543969,-88.91025982,Cape Girardeau,37.252811,-89.521555,92.377391
10,s0011,51117,"Sainte Genevieve, MO",38.00565713,-90.22526699,Cape Girardeau,37.252811,-89.521555,68.8236946
11,s0012,51119,"Iron, MO",37.6204226,-90.64453386,Cape Girardeau,37.252811,-89.521555,78.19459354
12,s0013,78907,"Williamson, IL",37.74035339,-88.9229703,Cape Girardeau,37.252811,-89.521555,64.9485753
13,s0014,91639,"Jackson, IL",37.72660483,-89.19757801,Cape Girardeau,37.252811,-89.521555,54.59659337
14,s0015,92067,"Scott, MO",37.09593388,-89.56294244,Cape Girardeau,37.252811,-89.521555,15.68104768
15,s0016,93322,"Jackson, IL",37.93240269,-89.55350668,Cape Girardeau,37.252811,-89.521555,63.44404923
16,s0017,107042,"Wayne, MO",36.91531221,-90.27964711,Cape Girardeau,37.252811,-89.521555,55.95099616
17,s0018,107783,"Bollinger, MO",37.09368626,-90.07718913,Cape Girardeau,37.252811,-89.521555,34.28297491
18,s0019,108228,"Cape Girardeau, MO",37.37113061,-89.64817406,Cape Girardeau,37.252811,-89.521555,13.72832657
19,s0020,128554,"Stoddard, MO",36.88349651,-89.92402875,Cape Girardeau,37.252811,-89.521555,40.10012774
20,s0021,129213,"Butler, MO",36.80196433,-90.45668209,Cape Girardeau,37.252811,-89.521555,81.53210249
21,s0022,129305,"Williamson, IL",37.741589,-88.948255,Cape Girardeau,37.252811,-89.521555,63.62691877
22,s0023,129378,"Franklin, IL",37.976096,-89.053286,Cape Girardeau,37.252811,-89.521555,87.79446777
23,s0024,135273,"Williamson, IL",37.81694939,-88.94228461,Cape Girardeau,37.252811,-89.521555,68.74857082
24,s0025,137105,"Perry, MO",37.70833547,-89.89352167,Cape Girardeau,37.252811,-89.521555,40.79848682
25,s0026,139455,"Jackson, IL",37.72927692,-89.24269948,Cape Girardeau,37.252811,-89.521555,55.00166525
26,s0027,139459,"Union, IL",37.3685194,-89.15753125,Cape Girardeau,37.252811,-89.521555,42.76835777
27,s0028,141544,"Williamson, IL",37.7482744,-89.0212363,Cape Girardeau,37.252811,-89.521555,63.96867293
28,s0029,144863,"Williamson, IL",37.73050803,-88.94675203,Cape Girardeau,37.252811,-89.521555,63.24402984
29,s0030,175905,"Madison, MO",37.56885817,-90.28434938,Cape Girardeau,37.252811,-89.521555,54.70875087
30,s0031,176795,"Butler, MO",36.73165156,-90.39170211,Cape Girardeau,37.252811,-89.521555,80.91483235
31,s0032,177198,"Wayne, MO",36.97092694,-90.54823636,Cape Girardeau,37.252811,-89.521555,100.3306316
32,s0033,177554,"Stoddard, MO",36.79958355,-89.97004893,Cape Girardeau,37.252811,-89.521555,54.47623377
33,s0034,185873,"Union, IL",37.46022297,-89.23607792,Cape Girardeau,37.252811,-89.521555,34.19312464
34,s0035,187854,"Butler, MO",36.68664672,-90.48427989,Cape Girardeau,37.252811,-89.521555,88.46182043
35,s0036,192508,"Williamson, IL",37.8177381,-88.9325626,Cape Girardeau,37.252811,-89.521555,69.31252731
36,s0037,192509,"Williamson, IL",37.74054771,-88.92470129,Cape Girardeau,37.252811,-89.521555,64.85710946
37,s0038,193045,"Butler, MO",36.79069645,-90.43335672,Cape Girardeau,37.252811,-89.521555,80.69120086
38,s0039,199172,"Pulaski, IL",37.2861626,-89.02287338,Cape Girardeau,37.252811,-89.521555,54.99563795
39,s0040,210074,"Cape Girardeau, MO",37.33951285,-89.53852496,Cape Girardeau,37.252811,-89.521555,10.44500119
40,s0041,212985,"Jackson, IL",37.72797754,-89.2025132,Cape Girardeau,37.252811,-89.521555,54.42540561
41,s0042,216455,"Perry, IL",38.134992,-89.231056,Cape Girardeau,37.252811,-89.521555,82.82070207
42,s0043,216659,"New Madrid, MO",36.454145,-89.920263,Cape Girardeau,37.252811,-89.521555,77.21562323
43,s0044,218170,"Scott, MO",36.86908053,-89.57983387,Cape Girardeau,37.252811,-89.521555,31.13206374
44,s0045,220552,"Stoddard, MO",36.80063339,-89.9492883,Cape Girardeau,37.252811,-89.521555,53.39492363
45,s0046,220653,"Wayne, MO",37.18759503,-90.46718232,Cape Girardeau,37.252811,-89.521555,67.14692444
46,s0047,221000,"Stoddard, MO",36.793139,-90.09304701,Cape Girardeau,37.252811,-89.521555,61.22935803
47,s0048,221548,"Scott, MO",36.86915639,-89.61197914,Cape Girardeau,37.252811,-89.521555,32.31210977
48,s0049,221566,"Stoddard, MO",36.664889,-89.968516,Cape Girardeau,37.252811,-89.521555,63.05705925
49,s0050,221603,"Williamson, IL",37.8188687,-89.02736073,Cape Girardeau,37.252811,-89.521555,68.87135377
50,s0051,221611,"Franklin, IL",37.88249135,-89.11400132,Cape Girardeau,37.252811,-89.521555,70.00398918
51,s0052,221665,"Mississippi, MO",36.911727,-89.349417,Cape Girardeau,37.252811,-89.521555,39.32602351
