,Iteration,Group,Flow,Flow_MMgal,Trips_Per_Truck,Gate_Queue_Wait,Driving_Time
0,0,Cape Girardeau,927000.0,0.927,2.146,0.191,4.966
1,0,Evansville,819000.0,0.819,2.844,0.0,4.214
2,0,Greenville,522000.0,0.522,2.417,0.021,4.345
3,0,Jonesboro,783000.0,0.783,2.289,0.038,5.427
4,0,Little Rock,2556000.0,2.556,2.63,0.001,4.736
5,0,Memphis,3321000.0,3.321,2.196,0.64,4.061
6,0,Owensboro,720000.0,0.72,3.077,0.015,4.628
7,0,Paducah,657000.0,0.657,1.738,0.681,3.881
8,0,Princeton,288000.0,0.288,2.286,0.093,3.405
9,0,Robinson,486000.0,0.486,2.455,0.005,5.659
10,0,Wood River,3339000.0,3.339,1.599,2.046,2.42
11,1,Cape Girardeau,918000.0,0.918,2.125,0.094,5.51
12,1,Evansville,846000.0,0.846,2.938,0.0,4.194
13,1,Greenville,549000.0,0.549,2.542,0.018,4.627
14,1,Jonesboro,765000.0,0.765,2.237,0.017,5.478
15,1,Little Rock,2457000.0,2.457,2.528,0.0,4.597
16,1,Memphis,3195000.0,3.195,2.113,0.779,3.684
17,1,Owensboro,765000.0,0.765,3.269,0.016,4.222
18,1,Paducah,684000.0,0.684,1.81,0.652,3.862
19,1,Princeton,315000.0,0.315,2.5,0.085,3.563
20,1,Robinson,441000.0,0.441,2.227,0.005,5.549
21,1,Wood River,3339000.0,3.339,1.613,1.987,2.573
22,2,Cape Girardeau,918000.0,0.918,2.125,0.149,5.06
23,2,Evansville,846000.0,0.846,2.938,0.0,4.157
24,2,Greenville,495000.0,0.495,2.292,0.014,4.937
25,2,Jonesboro,792000.0,0.792,2.316,0.028,5.656
26,2,Little Rock,2583000.0,2.583,2.657,0.0,4.359
27,2,Memphis,3375000.0,3.375,2.232,0.643,4.104
28,2,Owensboro,729000.0,0.729,3.115,0.01,4.1
29,2,Paducah,657000.0,0.657,1.738,0.646,3.808
30,2,Princeton,333000.0,0.333,2.643,0.07,4.078
31,2,Robinson,450000.0,0.45,2.273,0.007,5.438
32,2,Wood River,3384000.0,3.384,1.6,2.1,2.644
