,Stations,fuellocation_id,"County, State",station_lat,station_long,group_name,group_lat,group_long,station_group_dist
0,s0001,4165,"Mississippi, MO",36.919854,-89.324012,Cape Girardeau,37.252811,-89.521555,41.38773312266321
1,s0002,7733,"Dunklin, MO",36.5640002038,-89.9710029893,Cape Girardeau,37.252811,-89.521555,70.0440676182
2,s0003,17641,"Butler, MO",36.7697662528,-90.417097641,Cape Girardeau,37.252811,-89.521555,80.6464621301768
3,s0004,18147,"New Madrid, MO",36.4241211878,-89.6907001921,Cape Girardeau,37.252811,-89.521555,62.2478475464144
4,s0005,19039,"Madison, MO",37.5593247331,-90.2884646839,Cape Girardeau,37.252811,-89.521555,55.2650023649568
5,s0006,19167,"Butler, MO",36.7583481367,-90.3840668499,Cape Girardeau,37.252811,-89.521555,78.2823932930936
6,s0007,21380,"New Madrid, MO",36.6709930416,-89.5355594158,Cape Girardeau,37.252811,-89.521555,42.751332203507204
7,s0008,21405,"Stoddard, MO",36.7930296697,-89.9488134974,Cape Girardeau,37.252811,-89.521555,53.971991051524
8,s0009,21406,"Cape Girardeau, MO",37.4381347008,-89.6369350789,Cape Girardeau,37.252811,-89.521555,17.4080867665952
9,s0010,25261,"Jefferson, IL",38.1543969038,-88.910259821,Cape Girardeau,37.252811,-89.521555,92.377391001064
10,s0011,51117,"Sainte Genevieve, MO",38.0056571267,-90.2252669877,Cape Girardeau,37.252811,-89.521555,68.823694597112
11,s0012,51119,"Iron, MO",37.6204225962,-90.6445338603,Cape Girardeau,37.252811,-89.521555,78.194593543664
12,s0013,78907,"Williamson, IL",37.7403533923,-88.9229703007,Cape Girardeau,37.252811,-89.521555,64.94857529532321
13,s0014,91639,"Jackson, IL",37.726604833,-89.1975780086,Cape Girardeau,37.252811,-89.521555,54.5965933737224
14,s0015,92067,"Scott, MO",37.0959338756,-89.5629424387,Cape Girardeau,37.252811,-89.521555,15.681047675550401
15,s0016,93322,"Jackson, IL",37.9324026865,-89.5535066837,Cape Girardeau,37.252811,-89.521555,63.4440492281336
16,s0017,107042,"Wayne, MO",36.9153122084,-90.2796471119,Cape Girardeau,37.252811,-89.521555,55.950996160924795
17,s0018,107783,"Bollinger, MO",37.0936862593,-90.0771891337,Cape Girardeau,37.252811,-89.521555,34.2829749133352
18,s0019,108228,"Cape Girardeau, MO",37.3711306127,-89.6481740575,Cape Girardeau,37.252811,-89.521555,13.7283265675712
19,s0020,128554,"Stoddard, MO",36.8834965069,-89.9240287492,Cape Girardeau,37.252811,-89.521555,40.100127738600804
20,s0021,129213,"Butler, MO",36.8019643251,-90.456682086,Cape Girardeau,37.252811,-89.521555,81.5321024901344
21,s0022,129305,"Williamson, IL",37.741589,-88.948255,Cape Girardeau,37.252811,-89.521555,63.6269187699392
22,s0023,129378,"Franklin, IL",37.976096,-89.053286,Cape Girardeau,37.252811,-89.521555,87.794467774468
23,s0024,135273,"Williamson, IL",37.8169493938,-88.9422846109,Cape Girardeau,37.252811,-89.521555,68.7485708199992
24,s0025,137105,"Perry, MO",37.708335466,-89.8935216665,Cape Girardeau,37.252811,-89.521555,40.7984868212896
25,s0026,139455,"Jackson, IL",37.729276922,-89.242699478,Cape Girardeau,37.252811,-89.521555,55.0016652537872
26,s0027,139459,"Union, IL",37.3685193965,-89.1575312455,Cape Girardeau,37.252811,-89.521555,42.768357774168
27,s0028,141544,"Williamson, IL",37.7482743988,-89.0212362962,Cape Girardeau,37.252811,-89.521555,63.9686729255392
28,s0029,144863,"Williamson, IL",37.7305080311,-88.9467520269,Cape Girardeau,37.252811,-89.521555,63.2440298414288
29,s0030,175905,"Madison, MO",37.5688581735,-90.2843493753,Cape Girardeau,37.252811,-89.521555,54.7087508738784
30,s0031,176795,"Butler, MO",36.7316515602,-90.3917021089,Cape Girardeau,37.252811,-89.521555,80.9148323480016
31,s0032,177198,"Wayne, MO",36.9709269426,-90.5482363619,Cape Girardeau,37.252811,-89.521555,100.330631573068
32,s0033,177554,"Stoddard, MO",36.7995835505,-89.9700489296,Cape Girardeau,37.252811,-89.521555,54.476233773832
33,s0034,185873,"Union, IL",37.4602229709,-89.2360779223,Cape Girardeau,37.252811,-89.521555,34.193124638972
34,s0035,187854,"Butler, MO",36.6866467238,-90.4842798941,Cape Girardeau,37.252811,-89.521555,88.461820434676
35,s0036,192508,"Williamson, IL",37.8177380961,-88.9325626041,Cape Girardeau,37.252811,-89.521555,69.3125273138584
36,s0037,192509,"Williamson, IL",37.7405477147,-88.9247012898,Cape Girardeau,37.252811,-89.521555,64.8571094558608
37,s0038,193045,"Butler, MO",36.7906964468,-90.4333567202,Cape Girardeau,37.252811,-89.521555,80.69120085600079
38,s0039,199172,"Pulaski, IL",37.2861625954,-89.0228733789,Cape Girardeau,37.252811,-89.521555,54.995637953224794
39,s0040,210074,"Cape Girardeau, MO",37.3395128532,-89.538524957,Cape Girardeau,37.252811,-89.521555,10.445001189043198
40,s0041,212985,"Jackson, IL",37.7279775407,-89.2025132032,Cape Girardeau,37.252811,-89.521555,54.4254056103264
41,s0042,216455,"Perry, IL",38.134992,-89.231056,Cape Girardeau,37.252811,-89.521555,82.820702068104
42,s0043,216659,"New Madrid, MO",36.454145,-89.920263,Cape Girardeau,37.252811,-89.521555,77.215623230668
